index,classifier,POS_CON_ENC,BEN_TRV_ENC,BEN_FA_ENC,BEN_FPT_ENC,BEN_PDT_ENC,POS_SPU_ENC,REG_SAL_ENC,SEXO_ENC,NIV_EDU_ENC,POS_SSO_ENC,GRUPO_ETAR_ENC_Entre 18 y 25 años,GRUPO_ETAR_ENC_Entre 26 y 40 años,GRUPO_ETAR_ENC_Entre 41 y 60 años,GRUPO_ETAR_ENC_Mayor de 60 años,EX_GRUPO_ENC_AUC,EX_GRUPO_ENC_ELN,EX_GRUPO_ENC_EPL,EX_GRUPO_ENC_ERG,EX_GRUPO_ENC_ERP,EX_GRUPO_ENC_FARC,TIP_VIV_ENC_Apartamento,TIP_VIV_ENC_Casa,TIP_VIV_ENC_Casa_Lote,TIP_VIV_ENC_Finca,TIP_VIV_ENC_Habitacion,TIP_VIV_ENC_Otro,TIP_VIV_ENC_Rancho,TIP_VIV_ENC_Vivienda indigena,REG_VIV_ENC_Familiar,REG_VIV_ENC_No_Registra,REG_VIV_ENC_Otra_forma,REG_VIV_ENC_Sana_posesión_título,REG_VIV_ENC_arriendo_subarriendo,REG_VIV_ENC_usufructo,OCU_ECO_ENC_Desocupados,OCU_ECO_ENC_Ocupados_Informal,DEP_RES_ENC,MUN_RES_ENC,NUM_HIJOS_NOR,AÑO_ING_NOR
132,GradientBoostingClassifier_BASE_LINE_VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3742,GradientBoostingClassifier_BASE_LINE_VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,GradientBoostingClassifier_BASE_LINE_VALUES,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2015.0
39,GradientBoostingClassifier_BASE_LINE_VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1361,GradientBoostingClassifier_BASE_LINE_VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4249,GradientBoostingClassifier_BASE_LINE_VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,GradientBoostingClassifier_BASE_LINE_VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454,GradientBoostingClassifier_BASE_LINE_VALUES,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0472201422688131,,,2006.0
4091,GradientBoostingClassifier_BASE_LINE_VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3922,GradientBoostingClassifier_BASE_LINE_VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
