sample_index,classifier,POS_CON_ENC,BEN_TRV_ENC,BEN_FA_ENC,BEN_FPT_ENC,BEN_PDT_ENC,POS_SPU_ENC,REG_SAL_ENC,SEXO_ENC,NIV_EDU_ENC,POS_SSO_ENC,GRUPO_ETAR_ENC_Entre 18 y 25 años,GRUPO_ETAR_ENC_Entre 26 y 40 años,GRUPO_ETAR_ENC_Entre 41 y 60 años,GRUPO_ETAR_ENC_Mayor de 60 años,EX_GRUPO_ENC_AUC,EX_GRUPO_ENC_ELN,EX_GRUPO_ENC_EPL,EX_GRUPO_ENC_ERG,EX_GRUPO_ENC_ERP,EX_GRUPO_ENC_FARC,TIP_VIV_ENC_Apartamento,TIP_VIV_ENC_Casa,TIP_VIV_ENC_Casa_Lote,TIP_VIV_ENC_Finca,TIP_VIV_ENC_Habitacion,TIP_VIV_ENC_Otro,TIP_VIV_ENC_Rancho,TIP_VIV_ENC_Vivienda indigena,REG_VIV_ENC_Familiar,REG_VIV_ENC_No_Registra,REG_VIV_ENC_Otra_forma,REG_VIV_ENC_Sana_posesión_título,REG_VIV_ENC_arriendo_subarriendo,REG_VIV_ENC_usufructo,OCU_ECO_ENC_Desocupados,OCU_ECO_ENC_Ocupados_Informal,DEP_RES_ENC,MUN_RES_ENC,NUM_HIJOS_NOR,AÑO_ING_NOR,POS_CON_ENC_CON,BEN_TRV_ENC_CON,BEN_FA_ENC_CON,BEN_FPT_ENC_CON,BEN_PDT_ENC_CON,POS_SPU_ENC_CON,REG_SAL_ENC_CON,SEXO_ENC_CON,NIV_EDU_ENC_CON,POS_SSO_ENC_CON,GRUPO_ETAR_ENC_Entre 18 y 25 años_CON,GRUPO_ETAR_ENC_Entre 26 y 40 años_CON,GRUPO_ETAR_ENC_Entre 41 y 60 años_CON,GRUPO_ETAR_ENC_Mayor de 60 años_CON,EX_GRUPO_ENC_AUC_CON,EX_GRUPO_ENC_ELN_CON,EX_GRUPO_ENC_EPL_CON,EX_GRUPO_ENC_ERG_CON,EX_GRUPO_ENC_ERP_CON,EX_GRUPO_ENC_FARC_CON,TIP_VIV_ENC_Apartamento_CON,TIP_VIV_ENC_Casa_CON,TIP_VIV_ENC_Casa_Lote_CON,TIP_VIV_ENC_Finca_CON,TIP_VIV_ENC_Habitacion_CON,TIP_VIV_ENC_Otro_CON,TIP_VIV_ENC_Rancho_CON,TIP_VIV_ENC_Vivienda indigena_CON,REG_VIV_ENC_Familiar_CON,REG_VIV_ENC_No_Registra_CON,REG_VIV_ENC_Otra_forma_CON,REG_VIV_ENC_Sana_posesión_título_CON,REG_VIV_ENC_arriendo_subarriendo_CON,REG_VIV_ENC_usufructo_CON,OCU_ECO_ENC_Desocupados_CON,OCU_ECO_ENC_Ocupados_Informal_CON,DEP_RES_ENC_CON,MUN_RES_ENC_CON,NUM_HIJOS_NOR_CON,AÑO_ING_NOR_CON,distance
3490,GradientBoostingClassifier_BASE_LINE_VALUES,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0472201422688131,0.0039311119430924,1.0,2005.0,1,1,1,0.0,1,0,1,0,2.0,1.0,1,1,0,1,0,1,0.0,0.0,1,1,1,0,0,1,0,1,1,0,1,0.0,0,0.0,0,1,1,1,0.2119992512167727,0.0818513665293897,4.0,2008.0,28.04876033186928
3490,GradientBoostingClassifier_BASE_LINE_VALUES,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0472201422688131,0.0039311119430924,1.0,2005.0,0,1,1,0.0,1,0,0,1,4.0,3.0,1,0,0,0,0,1,0.0,0.0,1,1,0,0,0,0,1,1,0,0,0,0.0,0,0.0,0,0,1,0,0.2119992512167727,0.0093129913889928,8.0,2013.0,31.640427171940775
3012,GradientBoostingClassifier_BASE_LINE_VALUES,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0288281542493448,0.0005147884687383,2.0,2014.0,0,1,0,0.0,0,1,0,0,3.0,1.0,0,0,1,1,1,0,0.0,0.0,1,1,1,1,1,0,1,1,0,0,0,0.0,0,0.0,0,1,1,0,0.2119992512167727,0.037298764507675,3.0,2008.0,27.45548869763491
3012,GradientBoostingClassifier_BASE_LINE_VALUES,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0288281542493448,0.0005147884687383,2.0,2014.0,1,1,1,0.0,1,0,0,0,3.0,1.0,0,0,1,0,1,1,0.0,0.0,0,1,0,0,0,1,0,1,1,0,0,0.0,0,0.0,1,1,1,1,0.0861100711344066,0.0009359790340696,5.0,2016.0,23.246936434330255
3012,GradientBoostingClassifier_BASE_LINE_VALUES,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0288281542493448,0.0005147884687383,2.0,2014.0,0,0,1,0.0,1,0,0,1,1.0,3.0,1,0,1,1,1,0,0.0,0.0,1,1,0,1,0,1,1,1,0,1,1,0.0,0,0.0,0,1,1,0,0.0568139273680269,0.0074410333208536,8.0,2009.0,31.392961312468422
2882,GradientBoostingClassifier_BASE_LINE_VALUES,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0419786596780232,0.0211063272182703,0.0,2006.0,1,1,0,0.0,0,0,1,1,3.0,1.0,1,0,0,0,1,1,0.0,0.0,0,0,0,0,1,1,0,1,1,1,1,0.0,0,0.0,0,1,1,1,0.0419786596780232,0.0818513665293897,3.0,2016.0,28.673829365924092
2882,GradientBoostingClassifier_BASE_LINE_VALUES,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0419786596780232,0.0211063272182703,0.0,2006.0,0,0,0,0.0,1,1,0,1,1.0,1.0,0,0,0,0,1,0,0.0,0.0,1,1,1,1,0,1,1,0,0,0,0,0.0,1,0.0,1,0,0,1,0.0861100711344066,0.037298764507675,0.0,2014.0,27.137707316938343
2882,GradientBoostingClassifier_BASE_LINE_VALUES,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0419786596780232,0.0211063272182703,0.0,2006.0,0,0,1,0.0,0,1,0,1,3.0,3.0,0,0,1,0,0,0,0.0,0.0,1,0,1,0,1,1,0,0,1,0,1,0.0,0,0.0,0,1,1,0,0.0472201422688131,0.037298764507675,3.0,2003.0,21.440260856769825
2882,GradientBoostingClassifier_BASE_LINE_VALUES,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0419786596780232,0.0211063272182703,0.0,2006.0,0,0,1,0.0,1,1,0,1,1.0,1.0,1,1,0,0,1,1,0.0,0.0,1,0,0,1,0,1,1,1,1,1,1,0.0,1,0.0,1,0,1,0,0.2119992512167727,0.037298764507675,5.0,2014.0,34.99127097126589
2882,GradientBoostingClassifier_BASE_LINE_VALUES,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0419786596780232,0.0211063272182703,0.0,2006.0,1,0,1,0.0,1,1,0,0,3.0,3.0,1,0,1,0,1,0,0.0,0.0,1,0,0,0,1,0,1,1,1,0,1,0.0,1,0.0,1,1,0,1,0.2119992512167727,0.0146480718831898,3.0,2004.0,21.741366704862127
3980,GradientBoostingClassifier_BASE_LINE_VALUES,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0254118307749906,0.0097341819543242,3.0,2010.0,0,0,1,0.0,0,1,1,0,3.0,3.0,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1,1,1,1,1,0,1,0.0,1,0.0,0,1,0,1,0.2119992512167727,0.0244290527892175,2.0,2009.0,15.431404503083922
3980,GradientBoostingClassifier_BASE_LINE_VALUES,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0254118307749906,0.0097341819543242,3.0,2010.0,0,1,1,0.0,1,0,1,1,2.0,3.0,1,0,1,0,0,1,0.0,0.0,0,0,0,1,0,0,0,0,1,0,1,0.0,0,0.0,1,1,1,0,0.0861100711344066,0.037298764507675,8.0,2016.0,26.287749710998536
3980,GradientBoostingClassifier_BASE_LINE_VALUES,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0254118307749906,0.0097341819543242,3.0,2010.0,0,1,1,0.0,0,1,1,1,3.0,3.0,0,0,1,1,1,1,0.0,0.0,1,1,1,1,0,0,1,1,0,1,1,0.0,0,0.0,1,1,1,1,0.0861100711344066,0.0818513665293897,5.0,2007.0,21.361268449049284
3980,GradientBoostingClassifier_BASE_LINE_VALUES,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0254118307749906,0.0097341819543242,3.0,2010.0,1,1,1,0.0,0,0,1,1,4.0,3.0,1,1,0,0,0,1,0.0,0.0,0,0,1,0,0,1,1,1,0,1,1,0.0,0,0.0,0,0,1,1,0.0861100711344066,0.037298764507675,5.0,2008.0,21.700673527015596
3980,GradientBoostingClassifier_BASE_LINE_VALUES,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0254118307749906,0.0097341819543242,3.0,2010.0,0,0,1,0.0,0,0,0,1,2.0,3.0,0,1,0,0,1,1,0.0,0.0,1,0,1,1,0,1,1,0,0,1,0,0.0,0,0.0,0,0,1,0,0.2119992512167727,0.037298764507675,8.0,2018.0,26.75382961394529
239,GradientBoostingClassifier_BASE_LINE_VALUES,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2119992512167727,0.0128697117184575,2.0,2005.0,1,1,0,0.0,0,0,0,0,4.0,3.0,1,0,1,0,1,1,0.0,0.0,0,0,1,1,1,1,0,1,1,0,1,0.0,0,0.0,1,0,1,1,0.0861100711344066,0.0818513665293897,8.0,2015.0,31.678345813732825
239,GradientBoostingClassifier_BASE_LINE_VALUES,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2119992512167727,0.0128697117184575,2.0,2005.0,0,0,1,0.0,1,1,1,0,2.0,1.0,1,1,1,0,1,0,0.0,0.0,1,1,0,0,0,1,1,1,0,1,0,0.0,0,0.0,0,1,0,1,0.2119992512167727,0.0312616997379258,3.0,2013.0,29.134925889328834
3728,GradientBoostingClassifier_BASE_LINE_VALUES,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0283601647323099,0.0114189442156495,1.0,2006.0,0,1,1,0.0,0,0,0,0,2.0,1.0,1,1,0,0,0,0,0.0,0.0,1,0,1,0,0,1,1,0,0,1,1,0.0,0,0.0,1,1,1,1,0.2119992512167727,0.0818513665293897,6.0,2008.0,26.211500340133767
3728,GradientBoostingClassifier_BASE_LINE_VALUES,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0283601647323099,0.0114189442156495,1.0,2006.0,1,0,1,0.0,0,1,0,1,1.0,1.0,0,1,0,1,1,0,0.0,0.0,1,1,1,1,1,1,1,0,1,1,0,0.0,0,0.0,1,0,1,0,0.0861100711344066,0.0211063272182703,1.0,2003.0,23.718204433364594
3728,GradientBoostingClassifier_BASE_LINE_VALUES,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0283601647323099,0.0114189442156495,1.0,2006.0,1,1,0,0.0,1,0,0,1,2.0,3.0,1,0,0,1,1,0,0.0,0.0,1,1,1,0,0,1,0,1,1,1,1,0.0,1,0.0,1,0,0,0,0.2119992512167727,0.0818513665293897,8.0,2006.0,24.342079737996947
3728,GradientBoostingClassifier_BASE_LINE_VALUES,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0283601647323099,0.0114189442156495,1.0,2006.0,0,0,1,0.0,1,0,0,0,4.0,1.0,0,1,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,1,0.0,0,0.0,1,0,1,1,0.2119992512167727,0.0861100711344066,3.0,2013.0,24.436225593028077
3728,GradientBoostingClassifier_BASE_LINE_VALUES,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0283601647323099,0.0114189442156495,1.0,2006.0,1,1,1,0.0,0,1,1,1,2.0,3.0,0,1,1,0,1,0,0.0,0.0,1,0,1,1,0,1,0,1,1,1,0,0.0,0,0.0,1,1,1,1,0.2119992512167727,0.0133377012354923,8.0,2012.0,30.290444737698564
