classifier,params,sensitive_group,positive_prediction_probability,variance,best_result
GradientBoostingClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 2))",SEXO_ENC = 1,0.9457142857142857,0.051338775510204084,0
GradientBoostingClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 2))",SEXO_ENC = 0,1.0,0.0,0
GradientBoostingClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 2))",SEXO_ENC = 1,0.9457142857142857,0.051338775510204084,0
GradientBoostingClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 2))",SEXO_ENC = 0,1.0,0.0,0
GradientBoostingClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 3))",SEXO_ENC = 1,0.9457142857142857,0.051338775510204084,0
GradientBoostingClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 3))",SEXO_ENC = 0,1.0,0.0,0
GradientBoostingClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 3))",SEXO_ENC = 1,0.9457142857142857,0.051338775510204084,0
GradientBoostingClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 3))",SEXO_ENC = 0,1.0,0.0,0
GradientBoostingClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 1), ('spline_intervals', 2))",SEXO_ENC = 1,0.9457142857142857,0.051338775510204084,0
GradientBoostingClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 1), ('spline_intervals', 2))",SEXO_ENC = 0,1.0,0.0,0
GradientBoostingClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 1), ('spline_intervals', 2))",SEXO_ENC = 1,0.9457142857142857,0.051338775510204084,0
GradientBoostingClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 1), ('spline_intervals', 2))",SEXO_ENC = 0,1.0,0.0,0
GradientBoostingClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 1), ('spline_intervals', 3))",SEXO_ENC = 1,0.9457142857142857,0.051338775510204084,0
GradientBoostingClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 1), ('spline_intervals', 3))",SEXO_ENC = 0,1.0,0.0,0
GradientBoostingClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 1), ('spline_intervals', 3))",SEXO_ENC = 1,0.9457142857142857,0.051338775510204084,0
GradientBoostingClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 1), ('spline_intervals', 3))",SEXO_ENC = 0,1.0,0.0,0
GradientBoostingClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 2), ('spline_intervals', 2))",SEXO_ENC = 1,0.9457142857142857,0.051338775510204084,0
GradientBoostingClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 2), ('spline_intervals', 2))",SEXO_ENC = 0,1.0,0.0,0
GradientBoostingClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 2), ('spline_intervals', 2))",SEXO_ENC = 1,0.9457142857142857,0.051338775510204084,0
GradientBoostingClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 2), ('spline_intervals', 2))",SEXO_ENC = 0,1.0,0.0,0
GradientBoostingClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 2), ('spline_intervals', 3))",SEXO_ENC = 1,0.9457142857142857,0.051338775510204084,0
GradientBoostingClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 2), ('spline_intervals', 3))",SEXO_ENC = 0,1.0,0.0,0
GradientBoostingClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 2), ('spline_intervals', 3))",SEXO_ENC = 1,0.9457142857142857,0.051338775510204084,0
GradientBoostingClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 2), ('spline_intervals', 3))",SEXO_ENC = 0,1.0,0.0,0
GradientBoostingClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 2))",SEXO_ENC = 1,0.9457142857142857,0.051338775510204084,0
GradientBoostingClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 2))",SEXO_ENC = 0,1.0,0.0,0
GradientBoostingClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 2))",SEXO_ENC = 1,0.9457142857142857,0.051338775510204084,0
GradientBoostingClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 2))",SEXO_ENC = 0,1.0,0.0,0
GradientBoostingClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 3))",SEXO_ENC = 1,0.9457142857142857,0.051338775510204084,0
GradientBoostingClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 3))",SEXO_ENC = 0,1.0,0.0,0
GradientBoostingClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 3))",SEXO_ENC = 1,0.9457142857142857,0.051338775510204084,0
GradientBoostingClassifier,"(('approach', 'kernel'), ('cpu_time', 300), ('lambax', 0.1), ('maxorder', 2), ('spline_intervals', 3))",SEXO_ENC = 0,1.0,0.0,0
XGBClassifier,"(('approach', 'hdmr'), ('cpu_time', 300), ('lambax', 0.01), ('maxorder', 1), ('spline_intervals', 2))",SEXO_ENC = 1,0.9028571428571428,0.08770612244897959,0
