index,classifier,ENC_HOMICIDIO,ENC_HURTO,ENC_FATRAPORTE_ARMAS_MUNICIONES,ENC_TRAFAPORTE_ESTUPEFACIENTES,ENC_CONCIERTO_DELINQUIR,ENC_FATRAPORTE_ARMAS_ACCESORIOS_MUNICIONES,ENC_ACTOS_SEXUALES_MENOR_14,ENC_ACC_CARNAL_14,ENC_ANNO_INGRESO,ENC_INTRAMUROS,ENC_MESES_CONDENA,ENC_RANGOS_EDAD_INPEC,ENC_GENERO,ENC_NIVEL_EDUCATIVO,ENC_REGIONAL_CENTRAL,ENC_REGIONAL_OCCIDENTE,ENC_REGIONAL_NOROESTE,ENC_REGIONAL_NORTE,ENC_REGIONAL_ORIENTE,ENC_REGIONAL_VIEJO_CALDAS
1002,GaussianNB_BASE_LINE_VALUES,,,,,,,1.0,1.0,2013.0,,720.0,10.0,0.0,,,,,,,
1034,GaussianNB_BASE_LINE_VALUES,,0.0,,,,1.0,1.0,1.0,2013.0,,720.0,9.0,0.0,,,,,,,
2195,GaussianNB_BASE_LINE_VALUES,,,,,,,,,,,,,,,,,,,,
4576,GaussianNB_BASE_LINE_VALUES,,,,,,,,,2019.0,,,,,,,,,,,
1598,GaussianNB_BASE_LINE_VALUES,1.0,,,,,1.0,1.0,1.0,2016.0,,720.0,7.0,0.0,1.0,,,1.0,,,
1114,GaussianNB_BASE_LINE_VALUES,,,,,,1.0,1.0,1.0,2014.0,,720.0,8.0,0.0,,,,,,,
4669,GaussianNB_BASE_LINE_VALUES,1.0,,,,,1.0,1.0,1.0,2016.0,,202.0,8.0,0.0,1.0,,1.0,1.0,,,
3846,GaussianNB_BASE_LINE_VALUES,,,,,,,1.0,1.0,2014.0,,720.0,9.0,0.0,,,,,,,
4643,GaussianNB_BASE_LINE_VALUES,,,,,,0.0,,,2019.0,,,,,,,,,1.0,,
4700,GaussianNB_BASE_LINE_VALUES,1.0,,,,,1.0,1.0,1.0,2015.0,0.0,720.0,8.0,0.0,,,,,,,
2010,GaussianNB_BASE_LINE_VALUES,,,,,,1.0,1.0,1.0,2015.0,,720.0,8.0,0.0,,,,,,,
3168,GaussianNB_BASE_LINE_VALUES,,,,,,,1.0,1.0,2014.0,,720.0,9.0,0.0,,,,,,,
2440,GaussianNB_BASE_LINE_VALUES,,,,,,,1.0,1.0,2012.0,,720.0,9.0,0.0,,,,,,,
3906,GaussianNB_BASE_LINE_VALUES,,,,,,,1.0,1.0,2013.0,,720.0,10.0,0.0,,,,,,,
3410,GaussianNB_BASE_LINE_VALUES,,,,,,,,,2019.0,,67.0,,,,,,,,,
4898,GaussianNB_BASE_LINE_VALUES,,0.0,0.0,,,1.0,1.0,1.0,2016.0,0.0,720.0,7.0,0.0,1.0,,,1.0,,,0.0
1307,GaussianNB_BASE_LINE_VALUES,1.0,,,,,1.0,1.0,1.0,2016.0,0.0,202.0,7.0,0.0,,,1.0,,,,
2262,GaussianNB_BASE_LINE_VALUES,,,,,,1.0,1.0,1.0,2014.0,,720.0,9.0,0.0,,,,,,,
3061,GaussianNB_BASE_LINE_VALUES,0.0,,1.0,,,,,,2019.0,,67.0,,,,,,,1.0,,1.0
1605,GaussianNB_BASE_LINE_VALUES,,,,,,1.0,1.0,1.0,2014.0,,720.0,8.0,0.0,,,,,,,
4412,GaussianNB_BASE_LINE_VALUES,,1.0,,,,0.0,,,,,,,,,,,,,,
4106,GaussianNB_BASE_LINE_VALUES,1.0,,,,,1.0,1.0,1.0,2016.0,,720.0,7.0,0.0,,,,1.0,,,
3541,GaussianNB_BASE_LINE_VALUES,1.0,0.0,,,,1.0,1.0,1.0,2012.0,,720.0,7.0,0.0,,,,,0.0,,
785,GaussianNB_BASE_LINE_VALUES,1.0,,,,,1.0,1.0,1.0,2015.0,,720.0,7.0,0.0,,,,,,,
1085,GaussianNB_BASE_LINE_VALUES,,,,,,,,,,,,,,,,,,,,
371,GaussianNB_BASE_LINE_VALUES,1.0,,,,,1.0,1.0,1.0,2016.0,,202.0,1.0,0.0,1.0,,1.0,,,,
2120,GaussianNB_BASE_LINE_VALUES,,1.0,,,,,,,,,67.0,,,,,,,,,
4121,GaussianNB_BASE_LINE_VALUES,1.0,,,,,1.0,1.0,1.0,2015.0,,202.0,7.0,0.0,,,,1.0,0.0,,
1828,GaussianNB_BASE_LINE_VALUES,1.0,,,,,1.0,1.0,1.0,2015.0,0.0,720.0,8.0,0.0,,,,,,,
183,GaussianNB_BASE_LINE_VALUES,,1.0,1.0,,,0.0,,,,1.0,,3.0,,,,,,,,1.0
3201,GaussianNB_BASE_LINE_VALUES,,,,,,,1.0,1.0,2012.0,,720.0,,0.0,,,,,,,
1001,GaussianNB_BASE_LINE_VALUES,,,,,,,1.0,1.0,2013.0,,720.0,10.0,0.0,,,,,,,
259,GaussianNB_BASE_LINE_VALUES,,,,,,1.0,1.0,1.0,2014.0,,720.0,8.0,0.0,,,,,,,
2426,GaussianNB_BASE_LINE_VALUES,,,,,,,1.0,1.0,2012.0,,720.0,,0.0,,,,,,,
3663,GaussianNB_BASE_LINE_VALUES,,,,,,,1.0,1.0,2012.0,,720.0,10.0,0.0,,,,,,,
501,GaussianNB_BASE_LINE_VALUES,,,0.0,,,1.0,1.0,1.0,2015.0,0.0,720.0,8.0,0.0,,,,,,,
288,GaussianNB_BASE_LINE_VALUES,,,,,,1.0,1.0,1.0,2014.0,,720.0,8.0,0.0,,,,,,,
