sample_index,classifier,ENC_HOMICIDIO,ENC_HURTO,ENC_FATRAPORTE_ARMAS_MUNICIONES,ENC_TRAFAPORTE_ESTUPEFACIENTES,ENC_CONCIERTO_DELINQUIR,ENC_FATRAPORTE_ARMAS_ACCESORIOS_MUNICIONES,ENC_ACTOS_SEXUALES_MENOR_14,ENC_ACC_CARNAL_14,ENC_ANNO_INGRESO,ENC_INTRAMUROS,ENC_MESES_CONDENA,ENC_RANGOS_EDAD_INPEC,ENC_GENERO,ENC_NIVEL_EDUCATIVO,ENC_REGIONAL_CENTRAL,ENC_REGIONAL_OCCIDENTE,ENC_REGIONAL_NOROESTE,ENC_REGIONAL_NORTE,ENC_REGIONAL_ORIENTE,ENC_REGIONAL_VIEJO_CALDAS,ENC_HOMICIDIO_CON,ENC_HURTO_CON,ENC_FATRAPORTE_ARMAS_MUNICIONES_CON,ENC_TRAFAPORTE_ESTUPEFACIENTES_CON,ENC_CONCIERTO_DELINQUIR_CON,ENC_FATRAPORTE_ARMAS_ACCESORIOS_MUNICIONES_CON,ENC_ACTOS_SEXUALES_MENOR_14_CON,ENC_ACC_CARNAL_14_CON,ENC_ANNO_INGRESO_CON,ENC_INTRAMUROS_CON,ENC_MESES_CONDENA_CON,ENC_RANGOS_EDAD_INPEC_CON,ENC_GENERO_CON,ENC_NIVEL_EDUCATIVO_CON,ENC_REGIONAL_CENTRAL_CON,ENC_REGIONAL_OCCIDENTE_CON,ENC_REGIONAL_NOROESTE_CON,ENC_REGIONAL_NORTE_CON,ENC_REGIONAL_ORIENTE_CON,ENC_REGIONAL_VIEJO_CALDAS_CON,distance
256,GaussianNB_BASE_LINE_VALUES,0,1,0,0,0,0,0,0,2018,1,76,1,1,5,1,0,0,0,0,0,1,1,0,1,0,0,1,1,2011,1,264,2,1,4,1,1,0,0,1,0,204.9675919660069
256,GaussianNB_BASE_LINE_VALUES,0,1,0,0,0,0,0,0,2018,1,76,1,1,5,1,0,0,0,0,0,1,1,0,1,1,1,0,0,2018,0,294,10,0,4,1,0,1,0,0,0,235.52748886434566
256,GaussianNB_BASE_LINE_VALUES,0,1,0,0,0,0,0,0,2018,1,76,1,1,5,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2017,0,522,3,0,5,1,0,0,0,1,1,465.65184457492353
256,GaussianNB_BASE_LINE_VALUES,0,1,0,0,0,0,0,0,2018,1,76,1,1,5,1,0,0,0,0,0,1,1,0,1,0,1,0,0,2012,1,216,2,1,4,1,1,0,0,1,1,153.23698376277633
256,GaussianNB_BASE_LINE_VALUES,0,1,0,0,0,0,0,0,2018,1,76,1,1,5,1,0,0,0,0,0,1,1,0,0,1,0,0,1,2016,1,94,3,0,6,0,0,1,1,1,0,30.21647877542579
256,GaussianNB_BASE_LINE_VALUES,0,1,0,0,0,0,0,0,2018,1,76,1,1,5,1,0,0,0,0,0,0,0,1,0,1,1,0,1,2017,1,154,3,0,3,0,1,0,0,1,1,91.54494145931803
256,GaussianNB_BASE_LINE_VALUES,0,1,0,0,0,0,0,0,2018,1,76,1,1,5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2006,1,544,4,0,8,0,1,1,0,0,0,493.6367146741103
256,GaussianNB_BASE_LINE_VALUES,0,1,0,0,0,0,0,0,2018,1,76,1,1,5,1,0,0,0,0,0,1,1,1,1,1,1,0,1,2021,1,350,2,1,8,1,0,1,0,1,1,289.10486149383445
256,GaussianNB_BASE_LINE_VALUES,0,1,0,0,0,0,0,0,2018,1,76,1,1,5,1,0,0,0,0,0,1,0,0,1,1,1,0,1,2006,0,306,3,1,3,1,1,1,0,0,1,254.86349643607326
256,GaussianNB_BASE_LINE_VALUES,0,1,0,0,0,0,0,0,2018,1,76,1,1,5,1,0,0,0,0,0,0,0,0,1,1,0,0,1,2018,0,544,2,0,3,1,1,0,1,0,1,476.6189573240882
