atributo1,atributo2,valor1,valor2,proporcion,tipo
ENC_HOMICIDIO,ENC_GENERO,0,1,0.8929846238330588,ALTO
ENC_HOMICIDIO,ENC_GENERO,1,1,0.955594002306805,ALTO
ENC_HOMICIDIO,ENC_REINCIDENTE,0,0,0.7013316858868753,ALTO
ENC_HOMICIDIO,ENC_REINCIDENTE,1,0,0.7639369473279508,ALTO
ENC_HURTO,ENC_GENERO,0,1,0.8987662782727895,ALTO
ENC_HURTO,ENC_GENERO,1,1,0.9395752895752896,ALTO
ENC_HURTO,ENC_REINCIDENTE,0,0,0.7592871830020562,ALTO
ENC_HURTO,ENC_REINCIDENTE,1,0,0.600965250965251,ALTO
ENC_FATRAPORTE_ARMAS_MUNICIONES,ENC_GENERO,0,1,0.8909508063971928,ALTO
ENC_FATRAPORTE_ARMAS_MUNICIONES,ENC_GENERO,1,1,0.9648555847303575,ALTO
ENC_FATRAPORTE_ARMAS_MUNICIONES,ENC_REINCIDENTE,0,0,0.7336527431000742,ALTO
ENC_FATRAPORTE_ARMAS_MUNICIONES,ENC_REINCIDENTE,1,0,0.6703696222985256,ALTO
ENC_TRAFAPORTE_ESTUPEFACIENTES,ENC_GENERO,0,1,0.9424066924066924,ALTO
ENC_TRAFAPORTE_ESTUPEFACIENTES,ENC_GENERO,1,1,0.7884160756501182,ALTO
ENC_TRAFAPORTE_ESTUPEFACIENTES,ENC_REINCIDENTE,0,0,0.7175032175032175,ALTO
ENC_TRAFAPORTE_ESTUPEFACIENTES,ENC_REINCIDENTE,1,0,0.7189125295508274,ALTO
ENC_CONCIERTO_DELINQUIR,ENC_GENERO,0,1,0.9185126582278481,ALTO
ENC_CONCIERTO_DELINQUIR,ENC_GENERO,1,1,0.8648891551827441,ALTO
ENC_CONCIERTO_DELINQUIR,ENC_REINCIDENTE,0,0,0.7166504381694255,ALTO
ENC_CONCIERTO_DELINQUIR,ENC_REINCIDENTE,1,0,0.7234871180347513,ALTO
ENC_FATRAPORTE_ARMAS_ACCESORIOS_MUNICIONES,ENC_GENERO,0,1,0.9072517220805988,ALTO
ENC_FATRAPORTE_ARMAS_ACCESORIOS_MUNICIONES,ENC_GENERO,1,1,0.9399849962490623,ALTO
ENC_FATRAPORTE_ARMAS_ACCESORIOS_MUNICIONES,ENC_REINCIDENTE,0,0,0.7159516190269567,ALTO
ENC_FATRAPORTE_ARMAS_ACCESORIOS_MUNICIONES,ENC_REINCIDENTE,1,0,0.7434358589647412,ALTO
ENC_ACTOS_SEXUALES_MENOR_14,ENC_GENERO,0,1,0.9052704651038608,ALTO
ENC_ACTOS_SEXUALES_MENOR_14,ENC_GENERO,1,1,0.9846596356663471,ALTO
ENC_ACTOS_SEXUALES_MENOR_14,ENC_REINCIDENTE,0,0,0.7083355582848294,ALTO
ENC_ACTOS_SEXUALES_MENOR_14,ENC_REINCIDENTE,1,0,0.887823585810163,ALTO
ENC_ACC_CARNAL_14,ENC_GENERO,0,1,0.908357733600452,ALTO
ENC_ACC_CARNAL_14,ENC_GENERO,1,1,0.9801980198019802,ALTO
ENC_ACC_CARNAL_14,ENC_REINCIDENTE,0,0,0.7151589870036472,ALTO
ENC_ACC_CARNAL_14,ENC_REINCIDENTE,1,0,0.8877887788778878,ALTO
ENC_ANNO_INGRESO,ENC_GENERO,"(1996.976, 2003.0]",1,0.8571428571428571,ALTO
ENC_ANNO_INGRESO,ENC_GENERO,"(2003.0, 2009.0]",1,0.8805031446540881,ALTO
ENC_ANNO_INGRESO,ENC_GENERO,"(2009.0, 2015.0]",1,0.9022061244649325,ALTO
ENC_ANNO_INGRESO,ENC_GENERO,"(2015.0, 2021.0]",1,0.9111111111111111,ALTO
ENC_ANNO_INGRESO,ENC_REINCIDENTE,"(1996.976, 2003.0]",0,1.0,ALTO
ENC_ANNO_INGRESO,ENC_REINCIDENTE,"(2003.0, 2009.0]",0,0.9308176100628931,ALTO
ENC_ANNO_INGRESO,ENC_REINCIDENTE,"(2009.0, 2015.0]",0,0.8060586104708594,ALTO
ENC_ANNO_INGRESO,ENC_REINCIDENTE,"(2015.0, 2021.0]",0,0.6993357487922706,ALTO
ENC_INTRAMUROS,ENC_GENERO,0,1,0.8659446802283038,ALTO
ENC_INTRAMUROS,ENC_GENERO,1,1,0.9324418335008117,ALTO
ENC_INTRAMUROS,ENC_REINCIDENTE,0,0,0.7674520708327236,ALTO
ENC_INTRAMUROS,ENC_REINCIDENTE,1,0,0.6915822833732704,ALTO
ENC_MESES_CONDENA,ENC_GENERO,"(-0.72, 180.0]",1,0.892998417721519,ALTO
ENC_MESES_CONDENA,ENC_GENERO,"(180.0, 360.0]",1,0.9647092855076657,ALTO
ENC_MESES_CONDENA,ENC_GENERO,"(360.0, 540.0]",1,0.9589178356713427,ALTO
