Atributo,Tipo,Cantidad,Valores unicos,Mas frecuente,Menos frecuente,Valores nulos
ENC_HOMICIDIO,category,19770,2,0,1,0
ENC_HURTO,category,19770,2,0,1,0
ENC_FATRAPORTE_ARMAS_MUNICIONES,category,19770,2,0,1,0
ENC_TRAFAPORTE_ESTUPEFACIENTES,category,19770,2,0,1,0
ENC_CONCIERTO_DELINQUIR,category,19770,2,0,1,0
ENC_FATRAPORTE_ARMAS_ACCESORIOS_MUNICIONES,category,19770,2,0,1,0
ENC_ACTOS_SEXUALES_MENOR_14,category,19770,2,0,1,0
ENC_ACC_CARNAL_14,category,19770,2,0,1,0
ENC_INTRAMUROS,category,19770,2,1,0,0
ENC_RANGOS_EDAD_INPEC,category,19770,10,2,10,0
ENC_GENERO,category,19770,2,1,0,0
ENC_NIVEL_EDUCATIVO,category,19770,9,3,9,0
ENC_REGIONAL_CENTRAL,category,19770,2,0,1,0
ENC_REGIONAL_OCCIDENTE,category,19770,2,0,1,0
ENC_REGIONAL_NOROESTE,category,19770,2,0,1,0
ENC_REGIONAL_NORTE,category,19770,2,0,1,0
ENC_REGIONAL_ORIENTE,category,19770,2,0,1,0
ENC_REGIONAL_VIEJO_CALDAS,category,19770,2,0,1,0
ENC_REINCIDENTE,category,19770,2,0,1,0
