id,algorithm,stage,intervention,process,accuracy,recall,selection_rate,sensitivity,specificity,precision,num_positives,error_rate,error_rate_difference,error_rate_ratio,false_discovery_rate,false_discovery_rate_difference,false_discovery_rate_ratio,false_negative_rate,false_negative_rate_difference,false_negative_rate_ratio,false_omission_rate,false_omission_rate_difference,false_omission_rate_ratio,false_positive_rate,false_positive_rate_difference,false_positive_rate_ratio,generalized_entropy_index,generalized_false_negative_rate,generalized_false_positive_rate,generalized_true_negative_rate,generalized_true_positive_rate,negative_predictive_value,num_false_negatives,num_false_positives,num_generalized_false_negatives,num_generalized_false_positives,num_generalized_true_negatives,num_pred_negatives,num_pred_positives,num_true_negatives,num_true_positives,positive_predictive_value,average_abs_odds_difference,average_odds_difference,between_all_groups_coefficient_of_variation,between_all_groups_generalized_entropy_index,between_all_groups_theil_index,between_group_coefficient_of_variation,between_group_generalized_entropy_index,between_group_theil_index,coefficient_of_variation,differential_fairness_bias_amplification,disparate_impact,equal_opportunity_difference,equalized_odds_difference,average_predictive_value_difference,statistical_parity_difference,theil_index,true_negative_rate,true_positive_rate,true_positive_rate_difference,base_rate,consistency,num_negatives,mean_difference,smoothed_empirical_differential_fairness,f1_score,matthews_corrcoef,zero_one_loss,roc_auc_score,balanced_accuracy,fair_utility,log_likelihood,disparate_mistreatment,h_mean_fairness,h_mean_performance,h_mean_mixed,Total_real_time,Total_CPU_usage (%),Total_GPU_usage (%),Total_CPU_time (s),Total_GPU_time (s),Energy_consumption (Ws),CO2_emissions (gCO2e),equal_opportunity_difference_abs,equalized_odds_difference_abs,statistical_parity_difference_abs
9d4685ba-31be-4dad-b8e0-b0def87ede7d,GradientBoostingClassifier,BASE_LINE,NONE,BASE_LINE_VALUES,0.686115613,0.589561091,0.395461912,0.589561091,0.766865079,0.678961749,843,0.313884387,0.034308256,1.119909054,0.321038251,-0.008825417,0.973170732,0.410438909,-0.221330225,0.630145545,0.309204647,0.046296852,1.168739842,0.233134921,0.15792273,2.427621483,0.175569758,0.410438909,0.233134921,0.766865079,0.589561091,0.690795353,346,235,346,235,773,1119,732,773,497,0.678961749,0.189626478,0.189626478,0.043640344,0.00095224,0.000975162,0.043640344,0.00095224,0.000975162,0.592570263,0.42337007,2.034010259,0.221330225,0.221330225,0.027561135,0.222619773,0.249070331,0.766865079,0.589561091,0.221330225,0.455429498,[0.66310103],1008,0.118197256,0.283005298,0.631111111,0.36303045,0.313884387,0.678213085,0.678213085,0.549605927,-2725280.22,-0.063407494,0.920281893,0.633156584,0.770529771,12.9484241,17.9,8,233.9969944,104.5796623,16661.93683,1.439406209,0.221330225,0.221330225,0.222619773
9d4685ba-31be-4dad-b8e0-b0def87ede7d,LogisticRegressionCV,BASE_LINE,NONE,BASE_LINE_VALUES,0.673149649,0.533807829,0.357644516,0.533807829,0.78968254,0.679758308,843,0.326850351,0.043328782,1.148495729,0.320241692,0.00228798,1.007190796,0.466192171,-0.211311749,0.672724486,0.330529857,0.059075071,1.206762749,0.21031746,0.15132517,2.628547071,0.194896554,0.466192171,0.21031746,0.78968254,0.533807829,0.669470143,393,212,393,212,796,1189,662,796,450,0.679758308,0.18131846,0.18131846,0.040364154,0.000814632,0.0008327,0.040364154,0.000814632,0.0008327,0.624334132,0.467615411,2.127968605,0.211311749,0.211311749,0.028393545,0.21089498,0.278887081,0.78968254,0.533807829,0.211311749,0.455429498,[0.66310103],1008,0.118197256,0.283005298,0.598006645,0.336113136,0.326850351,0.661745184,0.661745184,0.541758567,-2708192.307,-0.059986579,0.936100296,0.596289964,0.752351982,14.54748178,39.6,8,550.6943606,104.5796623,17981.50918,1.553402599,0.211311749,0.211311749,0.21089498
9d4685ba-31be-4dad-b8e0-b0def87ede7d,AdaBoostClassifier,BASE_LINE,NONE,BASE_LINE_VALUES,0.668287412,0.606168446,0.428417072,0.606168446,0.720238095,0.644388398,843,0.331712588,0.031834703,1.104052317,0.355611602,-0.030187959,0.921121783,0.393831554,-0.250153961,0.587408402,0.313799622,0.041339246,1.146029543,0.279761905,0.183803725,2.33998845,0.174807876,0.393831554,0.279761905,0.720238095,0.606168446,0.686200378,332,282,332,282,726,1058,793,726,511,0.644388398,0.216978843,0.216978843,0.051537229,0.001328043,0.00136615,0.051537229,0.001328043,0.00136615,0.59128314,0.441915009,2.071370881,0.250153961,0.250153961,0.035763603,0.245838644,0.244449492,0.720238095,0.606168446,0.250153961,0.455429498,[0.66310103],1008,0.118197256,0.283005298,0.624694377,0.328491003,0.331712588,0.663203271,0.663203271,0.519302192,-2377203.875,-0.066350236,0.893662546,0.631997875,0.758987453,12.42389798,51.6,8,700.140375,104.5796623,18604.20091,1.607196245,0.250153961,0.250153961,0.245838644
9d4685ba-31be-4dad-b8e0-b0def87ede7d,SVC,BASE_LINE,NONE,BASE_LINE_VALUES,0.6726094,0.501779359,0.329011345,0.501779359,0.81547619,0.694581281,843,0.3273906,0.054497593,1.192376502,0.305418719,0.014677602,1.050212848,0.498220641,-0.164331588,0.7423443,0.338164251,0.074095912,1.263452131,0.18452381,0.129484191,2.540180374,0.204030001,0.498220641,0.18452381,0.81547619,0.501779359,0.661835749,420,186,420,186,822,1242,609,822,423,0.694581281,0.14690789,0.14690789,0.027350342,0.000374021,0.000379558,0.027350342,0.000374021,0.000379558,0.638795744,0.391555917,1.972188559,0.164331588,0.164331588,0.029709155,0.17901489,0.294615884,0.81547619,0.501779359,0.164331588,0.455429498,[0.66310103],1008,0.118197256,0.283005298,0.582644628,0.336266681,0.3273906,0.658627775,0.658627775,0.561870159,-2736333.318,-0.034847398,0.971252489,0.57737089,0.751527716,23.41743636,61.1,9,923.0513374,128.0439742,23052.64336,1.991492246,0.164331588,0.164331588,0.17901489
9d4685ba-31be-4dad-b8e0-b0def87ede7d,RidgeClassifierCV,BASE_LINE,NONE,BASE_LINE_VALUES,0.665045921,0.525504152,0.358184765,0.525504152,0.781746032,0.668174962,843,0.334954079,0.035840044,1.117143846,0.331825038,0.046062567,1.159447349,0.474495848,-0.322053842,0.569464863,0.336700337,0.038149351,1.123684211,0.218253968,0.207183758,4.601809955,0.199699811,0.474495848,0.218253968,0.781746032,0.525504152,0.663299663,400,220,400,220,788,1188,663,788,443,0.668174962,0.2646188,0.2646188,0.072619898,0.002636825,0.002746183,0.072619898,0.002636825,0.002746183,0.631980713,0.883322983,3.236226079,0.322053842,0.322053842,-0.003956608,0.285071313,0.284820097,0.781746032,0.525504152,0.322053842,0.455429498,[0.66310103],1008,0.118197256,0.283005298,0.588313413,0.319132636,0.334954079,0.653625092,0.653625092,0.480663604,-2734424.744,-0.114870084,0.858769073,0.587502141,0.716905054,12.64645743,73.3,9,1077.910063,128.0439742,23697.88805,2.047234218,0.322053842,0.322053842,0.285071313
9d4685ba-31be-4dad-b8e0-b0def87ede7d,XGBClassifier,BASE_LINE,NONE,BASE_LINE_VALUES,0.671528903,0.559905101,0.383036197,0.559905101,0.764880952,0.665726375,843,0.328471097,0.052332288,1.182903938,0.334273625,0.005965744,1.018135861,0.440094899,-0.186414024,0.688492355,0.324868651,0.066672231,1.243002738,0.235119048,0.160480275,2.450741688,0.187825401,0.440094899,0.235119048,0.764880952,0.559905101,0.675131349,371,237,371,237,771,1142,709,771,472,0.665726375,0.173447149,0.173447149,0.037722297,0.000711486,0.000726188,0.037722297,0.000711486,0.000726188,0.612903584,0.387707376,1.962695875,0.186414024,0.186414024,0.030353244,0.207265967,0.266499673,0.764880952,0.559905101,0.186414024,0.455429498,[0.66310103],1008,0.118197256,0.283005298,0.608247423,0.332724863,0.328471097,0.662393027,0.662393027,0.547502844,-3017012.421,-0.025933748,0.945802398,0.609852295,0.765158015,11.77677155,85.4,9,1220.976177,128.0439742,24293.99686,2.098731396,0.186414024,0.186414024,0.207265967
9d4685ba-31be-4dad-b8e0-b0def87ede7d,NN_CONFIG,BASE_LINE,NONE,NN,0.643435981,0.371293001,0.239330092,0.371293001,0.871031746,0.706546275,843,0.356564019,0.066042731,1.217879291,0.293453725,0.047766749,1.191066998,0.628706999,-0.159030924,0.791784254,0.376420455,0.085529637,1.275987384,0.128968254,0.109204898,3.468030691,0.252127742,0.628706999,0.128968254,0.871031746,0.371293001,0.623579545,530,130,530,130,878,1408,443,878,313,0.706546275,0.134117911,0.134117911,0.018800323,0.000176726,0.000178507,0.018800323,0.000176726,0.000178507,0.710109487,0.572612631,2.374148865,0.159030924,0.159030924,0.018881444,0.15571092,0.367675863,0.871031746,0.371293001,0.159030924,0.455429498,[0.66310103],1008,0.118197256,0.283005298,0.486780715,0.282838569,0.356564019,0.621162374,0.621162374,0.537853374,-3163323.322,-0.049826026,1.004056198,0.476057482,0.680563067,,,,,,,,0.159030924,0.159030924,0.15571092
9d4685ba-31be-4dad-b8e0-b0def87ede7d,LogisticRegressionCV,BASE_LINE,HYPERPARAMETER,HYPERPARAMETER,0.676931388,0.534994069,0.354943274,0.534994069,0.795634921,0.686453577,843,0.323068612,0.035155467,1.119325768,0.313546423,-0.004329004,0.986363636,0.465005931,-0.231249725,0.650372439,0.328308208,0.051052792,1.176253687,0.204365079,0.149356087,2.687723785,0.193400969,0.465005931,0.204365079,0.795634921,0.534994069,0.671691792,392,206,392,206,802,1194,657,802,451,0.686453577,0.190302906,0.190302906,0.043613985,0.00095109,0.00097397,0.043613985,0.00095109,0.00097397,0.62193403,0.510418928,2.221819569,0.231249725,0.231249725,0.027690898,0.21805845,0.277418411,0.795634921,0.534994069,0.231249725,0.455429498,[0.66310103],1008,0.118197256,0.283005298,0.601333333,0.344112251,0.323068612,0.665314495,0.665314495,0.538703213,-2716305.665,-0.081893638,0.923664956,0.598873475,0.749466275,,,,,,,,0.231249725,0.231249725,0.21805845
9d4685ba-31be-4dad-b8e0-b0def87ede7d,AdaBoostClassifier,BASE_LINE,HYPERPARAMETER,HYPERPARAMETER,0.682874122,0.601423488,0.409508374,0.601423488,0.750992063,0.668865435,843,0.317125878,0.006809835,1.02185338,0.331134565,-0.061630063,0.840611905,0.398576512,-0.281650024,0.558400579,0.307410796,0.021516529,1.073846853,0.249007937,0.155568884,2.212364406,0.173035659,0.398576512,0.249007937,0.750992063,0.601423488,0.692589204,336,251,336,251,757,1093,758,757,507,0.668865435,0.218609454,0.218609454,0.051586048,0.00133056,0.001368777,0.051586048,0.00133056,0.001368777,0.588278266,0.476832117,2.145963507,0.281650024,0.281650024,0.041573296,0.243476666,0.244041709,0.750992063,0.601423488,0.281650024,0.455429498,[0.66310103],1008,0.118197256,0.283005298,0.633354154,0.356906481,0.317125878,0.676207776,0.676207776,0.528382363,-2375243.129,-0.12608114,0.87489338,0.637481883,0.754472803,,,,,,,,0.281650024,0.281650024,0.243476666
9d4685ba-31be-4dad-b8e0-b0def87ede7d,GradientBoostingClassifier,BASE_LINE,SMOTE,SMOTE,0.681793625,0.637010676,0.443003782,0.637010676,0.719246032,0.654878049,843,0.318206375,0.018646202,1.061515042,0.345121951,-0.036585366,0.903225806,0.362989324,-0.277196147,0.53679065,0.296799224,0.022188775,1.079120499,0.280753968,0.185082498,2.349311113,0.163052911,0.362989324,0.280753968,0.719246032,0.637010676,0.703200776,306,283,306,283,725,1031,820,725,537,0.654878049,0.231139322,0.231139322,0.056553536,0.001599151,0.001649805,0.056553536,0.001599151,0.001649805,0.57105676,0.465560926,2.12082777,0.277196147,0.277196147,0.02938707,0.260362258,0.227121342,0.719246032,0.637010676,0.277196147,0.455429498,[0.66310103],1008,0.118197256,0.283005298,0.645820806,0.357166604,0.318206375,0.678128354,0.678128354,0.521386226,-2730131.712,-0.092113649,0.871359152,0.654311945,0.762901316,,,,,,,,0.277196147,0.277196147,0.260362258
