id,algorithm,stage,intervention,process,accuracy,recall,selection_rate,sensitivity,specificity,precision,num_positives,error_rate,error_rate_difference,error_rate_ratio,false_discovery_rate,false_discovery_rate_difference,false_discovery_rate_ratio,false_negative_rate,false_negative_rate_difference,false_negative_rate_ratio,false_omission_rate,false_omission_rate_difference,false_omission_rate_ratio,false_positive_rate,false_positive_rate_difference,false_positive_rate_ratio,generalized_entropy_index,generalized_false_negative_rate,generalized_false_positive_rate,generalized_true_negative_rate,generalized_true_positive_rate,negative_predictive_value,num_false_negatives,num_false_positives,num_generalized_false_negatives,num_generalized_false_positives,num_generalized_true_negatives,num_pred_negatives,num_pred_positives,num_true_negatives,num_true_positives,positive_predictive_value,average_abs_odds_difference,average_odds_difference,between_all_groups_coefficient_of_variation,between_all_groups_generalized_entropy_index,between_all_groups_theil_index,between_group_coefficient_of_variation,between_group_generalized_entropy_index,between_group_theil_index,coefficient_of_variation,differential_fairness_bias_amplification,disparate_impact,equal_opportunity_difference,equalized_odds_difference,average_predictive_value_difference,statistical_parity_difference,theil_index,true_negative_rate,true_positive_rate,true_positive_rate_difference,base_rate,consistency,num_negatives,mean_difference,smoothed_empirical_differential_fairness,f1_score,matthews_corrcoef,zero_one_loss,roc_auc_score,balanced_accuracy,fair_utility,log_likelihood,disparate_mistreatment,h_mean_fairness,h_mean_performance,h_mean_mixed,Total_real_time,Total_CPU_usage (%),Total_GPU_usage (%),Total_CPU_time (s),Total_GPU_time (s),Energy_consumption (Ws),CO2_emissions (gCO2e),equal_opportunity_difference_abs,equalized_odds_difference_abs,statistical_parity_difference_abs
a37f31d9-0dd9-409e-bc07-9ba99eabbf52,GradientBoostingClassifier,BASE_LINE,NONE,BASE_LINE_VALUES,0.686115613,0.589561091,0.395461912,0.589561091,0.766865079,0.678961749,843,0.313884387,0.034365237,1.12027833,0.321038251,-0.060486757,0.833661417,0.410438909,-0.373813093,0.462643678,0.309204647,0.066162957,1.243975904,0.233134921,0.233075435,3.738636364,0.175569758,0.410438909,0.233134921,0.766865079,0.589561091,0.690795353,346,235,346,235,773,1119,732,773,497,0.678961749,0.303444264,0.303444264,0.057330554,0.001643396,0.001664538,0.787261376,0.309890237,0.480934618,0.592570263,0.698777235,3.213446593,0.373813093,0.373813093,0.063324857,0.347827322,0.249070331,0.766865079,0.589561091,0.373813093,0.455429498,[0.66310103],1008,0.190315251,0.453201669,0.631111111,0.36303045,0.313884387,0.678213085,0.678213085,0.472413215,-2725280.22,-0.140737658,0.793892877,0.633156584,0.715993317,12.45857906,11.4,0,143.0965432,0,596.2355965,0.051508131,0.373813093,0.373813093,0.347827322
a37f31d9-0dd9-409e-bc07-9ba99eabbf52,LogisticRegressionCV,BASE_LINE,NONE,BASE_LINE_VALUES,0.673149649,0.533807829,0.357644516,0.533807829,0.78968254,0.679758308,843,0.326850351,0.020888952,1.068010541,0.320241692,-0.104255319,0.739361702,0.466192171,-0.438447443,0.454903179,0.330529857,0.060343284,1.203862445,0.21031746,0.223360295,4.499311295,0.194896554,0.466192171,0.21031746,0.78968254,0.533807829,0.669470143,393,212,393,212,796,1189,662,796,450,0.679758308,0.330903869,0.330903869,0.060290696,0.001817484,0.001846787,0.78802503,0.310491724,0.481334232,0.624334132,0.993783264,4.360503645,0.438447443,0.438447443,0.082299301,0.360053962,0.278887081,0.78968254,0.533807829,0.438447443,0.455429498,[0.66310103],1008,0.190315251,0.453201669,0.598006645,0.336113136,0.326850351,0.661745184,0.661745184,0.442771142,-2708192.307,-0.215087148,0.747172304,0.596289964,0.674073332,13.95460916,23.3,0,309.5281905,0,1289.700794,0.111415819,0.438447443,0.438447443,0.360053962
a37f31d9-0dd9-409e-bc07-9ba99eabbf52,AdaBoostClassifier,BASE_LINE,NONE,BASE_LINE_VALUES,0.668287412,0.606168446,0.428417072,0.606168446,0.720238095,0.644388398,843,0.331712588,0.032817381,1.106847288,0.355611602,-0.108539326,0.753319714,0.393831554,-0.37956022,0.454382184,0.313799622,0.071315402,1.256289725,0.279761905,0.248681203,3.125093914,0.174807876,0.393831554,0.279761905,0.720238095,0.606168446,0.686200378,332,282,332,282,726,1058,793,726,511,0.644388398,0.314120711,0.314120711,0.055497118,0.001539965,0.001577597,0.787271998,0.309898599,0.48094015,0.59128314,0.623480607,2.972564612,0.37956022,0.37956022,0.089927364,0.352243681,0.244449492,0.720238095,0.606168446,0.37956022,0.455429498,[0.66310103],1008,0.190315251,0.453201669,0.624694377,0.328491003,0.331712588,0.663203271,0.663203271,0.454877388,-2377203.875,-0.130879017,0.783742024,0.631997875,0.710618661,12.2600913,32.9,0,427.674797,0,1781.978321,0.153943127,0.37956022,0.37956022,0.352243681
a37f31d9-0dd9-409e-bc07-9ba99eabbf52,SVC,BASE_LINE,NONE,BASE_LINE_VALUES,0.6726094,0.501779359,0.329011345,0.501779359,0.81547619,0.694581281,843,0.3273906,0.033996024,1.11332008,0.305418719,-0.067550097,0.810859729,0.498220641,-0.405880393,0.495391944,0.338164251,0.075143533,1.255894192,0.18452381,0.211271321,4.971900826,0.204030001,0.498220641,0.18452381,0.81547619,0.501779359,0.661835749,420,186,420,186,822,1242,609,822,423,0.694581281,0.308575857,0.308575857,0.06252816,0.001954885,0.001978052,0.787343631,0.309954996,0.480977472,0.638795744,0.999119144,4.393638171,0.405880393,0.405880393,0.071346815,0.339363817,0.294615884,0.81547619,0.501779359,0.405880393,0.455429498,[0.66310103],1008,0.190315251,0.453201669,0.582644628,0.336266681,0.3273906,0.658627775,0.658627775,0.455391145,-2736333.318,-0.194609073,0.78314365,0.57737089,0.679375081,23.41325259,42.1,0,643.4836498,0,2681.181874,0.231624323,0.405880393,0.405880393,0.339363817
a37f31d9-0dd9-409e-bc07-9ba99eabbf52,RidgeClassifierCV,BASE_LINE,NONE,BASE_LINE_VALUES,0.665045921,0.525504152,0.358184765,0.525504152,0.781746032,0.668174962,843,0.334954079,0.012567452,1.039098741,0.331825038,-0.156916613,0.660014006,0.474495848,-0.481925704,0.431574811,0.336700337,0.053290744,1.173536526,0.218253968,0.23575699,4.693526171,0.199699811,0.474495848,0.218253968,0.781746032,0.525504152,0.663299663,400,220,400,220,788,1188,663,788,443,0.668174962,0.358841347,0.358841347,0.077865586,0.003031525,0.003130514,0.788920499,0.311197777,0.481807622,0.631980713,1.144605366,5.095580364,0.481925704,0.481925704,0.105103679,0.380303891,0.284820097,0.781746032,0.525504152,0.481925704,0.455429498,[0.66310103],1008,0.190315251,0.453201669,0.588313413,0.319132636,0.334954079,0.653625092,0.653625092,0.419077384,-2734424.744,-0.246168714,0.705418499,0.587502141,0.649546043,12.43966913,53.4,0,784.581119,0,3269.087996,0.28241288,0.481925704,0.481925704,0.380303891
a37f31d9-0dd9-409e-bc07-9ba99eabbf52,XGBClassifier,BASE_LINE,NONE,BASE_LINE_VALUES,0.671528903,0.559905101,0.383036197,0.559905101,0.764880952,0.665726375,843,0.328471097,0.038966203,1.129887343,0.334273625,-0.107394642,0.746158119,0.440094899,-0.317591204,0.528735632,0.324868651,0.089235224,1.32815534,0.235119048,0.203226657,2.736664162,0.187825401,0.440094899,0.235119048,0.764880952,0.559905101,0.675131349,371,237,371,237,771,1142,709,771,472,0.665726375,0.260408931,0.260408931,0.050856784,0.001293206,0.001302853,0.785852986,0.308782458,0.480208689,0.612903584,0.501144535,2.628077688,0.317591204,0.317591204,0.098314933,0.302357285,0.266499673,0.764880952,0.559905101,0.317591204,0.455429498,[0.66310103],1008,0.190315251,0.453201669,0.608247423,0.332724863,0.328471097,0.662393027,0.662393027,0.489899967,-3017012.421,-0.114364547,0.843046048,0.609852295,0.724343502,11.79617023,64.4,0,914.8545143,0,3811.893809,0.329305271,0.317591204,0.317591204,0.302357285
a37f31d9-0dd9-409e-bc07-9ba99eabbf52,NN_CONFIG,BASE_LINE,NONE,NN,0.636952998,0.347568209,0.224203133,0.347568209,0.878968254,0.706024096,843,0.363047002,0.087673956,1.292246521,0.293975904,-0.010191083,0.966029724,0.652431791,-0.275029152,0.675606641,0.383008357,0.132080925,1.44026975,0.121031746,0.156101635,5.891184573,0.261907455,0.652431791,0.121031746,0.878968254,0.347568209,0.616991643,550,122,550,122,886,1436,415,886,293,0.706024096,0.215565394,0.215565394,0.034763281,0.000604243,0.000605639,0.784788509,0.307946502,0.479671778,0.723750585,0.980436148,4.369781312,0.275029152,0.275029152,0.071136004,0.240698665,0.38181178,0.878968254,0.347568209,0.275029152,0.455429498,[0.66310103],1008,0.190315251,0.453201669,0.46581876,0.27050849,0.363047002,0.613268231,0.613268231,0.481068824,-2923812.884,-0.118927517,0.929243625,0.454968345,0.642293668,,,,,,,,0.275029152,0.275029152,0.240698665
a37f31d9-0dd9-409e-bc07-9ba99eabbf52,LogisticRegressionCV,BASE_LINE,HYPERPARAMETER,HYPERPARAMETER,0.676931388,0.534994069,0.354943274,0.534994069,0.795634921,0.686453577,843,0.323068612,0.016912809,1.055064959,0.313546423,-0.110300429,0.724248927,0.465005931,-0.438447443,0.454903179,0.328308208,0.057703704,1.194944945,0.204365079,0.215095833,4.369834711,0.193400969,0.465005931,0.204365079,0.795634921,0.534994069,0.671691792,392,206,392,206,802,1194,657,802,451,0.686453577,0.326771638,0.326771638,0.059248552,0.001755195,0.001783895,0.787881182,0.310378378,0.48125866,0.62193403,0.985245325,4.323392975,0.438447443,0.438447443,0.084002066,0.356077819,0.277418411,0.795634921,0.534994069,0.438447443,0.455429498,[0.66310103],1008,0.190315251,0.453201669,0.601333333,0.344112251,0.323068612,0.665314495,0.665314495,0.447908588,-2716305.665,-0.22335161,0.748245793,0.598873475,0.675986114,,,,,,,,0.438447443,0.438447443,0.356077819
a37f31d9-0dd9-409e-bc07-9ba99eabbf52,AdaBoostClassifier,BASE_LINE,HYPERPARAMETER,HYPERPARAMETER,0.682874122,0.601423488,0.409508374,0.601423488,0.750992063,0.668865435,843,0.317125878,-0.009301335,0.971062514,0.331134565,-0.176190476,0.63,0.398576512,-0.458187573,0.397810619,0.307410796,0.030985234,1.105349794,0.249007937,0.215931071,3.029752066,0.173035659,0.398576512,0.249007937,0.750992063,0.601423488,0.692589204,336,251,336,251,757,1093,758,757,507,0.668865435,0.337059322,0.337059322,0.059379055,0.001762936,0.001803186,0.787939135,0.31042404,0.48128909,0.588278266,0.767564282,3.445990722,0.458187573,0.458187573,0.103587855,0.366898608,0.244041709,0.750992063,0.601423488,0.458187573,0.455429498,[0.66310103],1008,0.190315251,0.453201669,0.633354154,0.356906481,0.317125878,0.676207776,0.676207776,0.448285641,-2375243.129,-0.242256502,0.719290886,0.637481883,0.681792818,,,,,,,,0.458187573,0.458187573,0.366898608
a37f31d9-0dd9-409e-bc07-9ba99eabbf52,GradientBoostingClassifier,BASE_LINE,SMOTE,SMOTE,0.681793625,0.637010676,0.443003782,0.637010676,0.719246032,0.654878049,843,0.318206375,0.020079523,1.066931743,0.345121951,-0.092723005,0.777464789,0.362989324,-0.431284358,0.380028736,0.296799224,0.039206424,1.142123288,0.280753968,0.273782311,3.573553719,0.163052911,0.362989324,0.280753968,0.719246032,0.637010676,0.703200776,306,283,306,283,725,1031,820,725,537,0.654878049,0.352533334,0.352533334,0.070328148,0.002473024,0.00251843,0.788683997,0.311011223,0.481682111,0.57105676,0.725155524,3.293571902,0.431284358,0.431284358,0.065964714,0.393183755,0.227121342,0.719246032,0.637010676,0.431284358,0.455429498,[0.66310103],1008,0.190315251,0.453201669,0.645820806,0.357166604,0.318206375,0.678128354,0.678128354,0.439065504,-2730131.712,-0.157502047,0.731493709,0.654311945,0.696293487,,,,,,,,0.431284358,0.431284358,0.393183755
a37f31d9-0dd9-409e-bc07-9ba99eabbf52,LogisticRegressionCV,BASE_LINE,SMOTE,SMOTE,0.674770394,0.638196916,0.451107509,0.638196916,0.705357143,0.644311377,843,0.325229606,0.008591309,1.026728518,0.355688623,-0.136355443,0.712138508,0.361803084,-0.523988006,0.33045977,0.30019685,0.022384552,1.075236967,0.294642857,0.311280113,4.251147842,0.164020186,0.361803084,0.294642857,0.705357143,0.638196916,0.69980315,305,297,305,297,711,1016,835,711,538,0.644311377,0.417634059,0.417634059,0.087492538,0.003827472,0.003962206,0.791041137,0.31287304,0.482947633,0.572748087,0.981169644,4.277492937,0.523988006,0.523988006,0.079369998,0.444802613,0.227733105,0.705357143,0.638196916,0.523988006,0.455429498,[0.66310103],1008,0.190315251,0.453201669,0.641239571,0.343834179,0.325229606,0.671777029,0.671777029,0.391220062,-2814194.636,-0.212707893,0.64138356,0.650988034,0.64546484,,,,,,,,0.523988006,0.523988006,0.444802613
a37f31d9-0dd9-409e-bc07-9ba99eabbf52,AdaBoostClassifier,BASE_LINE,SMOTE,SMOTE,0.673149649,0.595492289,0.413830362,0.595492289,0.738095238,0.65535248,843,0.326850351,0.024865095,1.080956124,0.34464752,-0.129483815,0.708661417,0.404507711,-0.34057971,0.494623656,0.314285714,0.075061307,1.273610571,0.261904762,0.202918938,2.58953168,0.176977931,0.404507711,0.261904762,0.738095238,0.595492289,0.685714286,341,264,341,264,744,1085,766,744,502,0.65535248,0.271749324,0.271749324,0.044735221,0.00100062,0.001022875,0.78607088,0.308953715,0.480319965,0.594941898,0.49810654,2.618363891,0.34057971,0.34057971,0.102272561,0.312113036,0.248792256,0.738095238,0.595492289,0.34057971,0.455429498,[0.66310103],1008,0.190315251,0.453201669,0.623990056,0.337306417,0.326850351,0.666793764,0.666793764,0.485593009,-2376669.91,-0.137660772,0.821589375,0.629270349,0.726439611,,,,,,,,0.34057971,0.34057971,0.312113036
a37f31d9-0dd9-409e-bc07-9ba99eabbf52,SVC,BASE_LINE,SMOTE,SMOTE,0.682333874,0.664294187,0.467314965,0.664294187,0.697420635,0.647398844,843,0.317666126,-0.01861687,0.944545493,0.352601156,-0.189682094,0.634184534,0.335705813,-0.479843412,0.331127366,0.287018256,0.008206733,1.028101842,0.302579365,0.253956392,2.705135773,0.155054731,0.335705813,0.302579365,0.697420635,0.664294187,0.712981744,283,305,283,305,703,986,865,703,560,0.647398844,0.366899902,0.366899902,0.072402653,0.002621072,0.002671642,0.788624393,0.310964217,0.481650533,0.556874728,0.652678538,3.056475959,0.479843412,0.479843412,0.098944413,0.396606078,0.213929287,0.697420635,0.664294187,0.479843412,0.455429498,[0.66310103],1008,0.190315251,0.453201669,0.655737705,0.361047089,0.317666126,0.680857411,0.680857411,0.431050894,-2726276.196,-0.22588702,0.686169631,0.667272352,0.677941306,,,,,,,,0.479843412,0.479843412,0.396606078
a37f31d9-0dd9-409e-bc07-9ba99eabbf52,RidgeClassifierCV,BASE_LINE,SMOTE,SMOTE,0.681793625,0.641755635,0.44732577,0.641755635,0.715277778,0.653381643,843,0.318206375,-0.00749787,0.977180396,0.346618357,-0.17008547,0.65982906,0.358244365,-0.55530568,0.309619965,0.295210166,0.00550991,1.018167812,0.284722222,0.30301565,4.164830119,0.161680159,0.358244365,0.284722222,0.715277778,0.641755635,0.704789834,302,287,302,287,721,1023,828,721,541,0.653381643,0.429160665,0.429160665,0.096077462,0.004615439,0.004800864,0.79147479,0.313216172,0.483183845,0.568647797,1.03552278,4.522862823,0.55530568,0.55530568,0.08779769,0.452939506,0.224839618,0.715277778,0.641755635,0.55530568,0.455429498,[0.66310103],1008,0.190315251,0.453201669,0.647516457,0.357601992,0.318206375,0.678516706,0.678516706,0.387324025,-2766025.592,-0.252290031,0.611011489,0.656554661,0.629732607,,,,,,,,0.55530568,0.55530568,0.452939506
a37f31d9-0dd9-409e-bc07-9ba99eabbf52,XGBClassifier,BASE_LINE,SMOTE,SMOTE,0.666666667,0.586002372,0.411669368,0.586002372,0.734126984,0.648293963,843,0.333333333,0.062382846,1.223938421,0.351706037,-0.039557516,0.893194707,0.413997628,-0.308595702,0.510503369,0.320477502,0.09556409,1.372370419,0.265873016,0.255187269,3.398760331,0.181222829,0.413997628,0.265873016,0.734126984,0.586002372,0.679522498,349,268,349,268,740,1089,762,740,494,0.648293963,0.281891486,0.281891486,0.05998744,0.001799246,0.001814707,0.786628295,0.309392037,0.480606416,0.602034598,0.538574489,2.726603343,0.308595702,0.308595702,0.067560803,0.332987788,0.254648684,0.734126984,0.586002372,0.308595702,0.455429498,[0.66310103],1008,0.190315251,0.453201669,0.615576324,0.323950108,0.333333333,0.660064678,0.660064678,0.473998065,-3029574.424,-0.053408433,0.840575744,0.620993086,0.729956327,,,,,,,,0.308595702,0.308595702,0.332987788
a37f31d9-0dd9-409e-bc07-9ba99eabbf52,LogisticRegressionCV,BASE_LINE,SMOTE,HYPERPARAMETER,0.672069152,0.632265718,0.448406267,0.632265718,0.705357143,0.642168675,843,0.327930848,0.006603238,1.020543406,0.357831325,-0.140350877,0.703703704,0.367734282,-0.51824088,0.337803321,0.303623898,0.023409571,1.078682171,0.294642857,0.300949534,4.143250689,0.166268037,0.367734282,0.294642857,0.705357143,0.632265718,0.696376102,310,297,310,297,711,1021,830,711,533,0.642168675,0.409595207,0.409595207,0.083387807,0.003476763,0.003604127,0.790716087,0.312615965,0.482771248,0.57665941,0.967388203,4.218897143,0.51824088,0.51824088,0.081880224,0.436850327,0.23105749,0.705357143,0.632265718,0.51824088,0.455429498,[0.66310103],1008,0.190315251,0.453201669,0.637178721,0.338083504,0.327930848,0.66881143,0.66881143,0.394869474,-2857942.766,-0.217291346,0.648907379,0.646694719,0.647957245,,,,,,,,0.51824088,0.51824088,0.436850327
a37f31d9-0dd9-409e-bc07-9ba99eabbf52,AdaBoostClassifier,BASE_LINE,SMOTE,HYPERPARAMETER,0.677471637,0.652431791,0.461372231,0.652431791,0.698412698,0.644028103,843,0.322528363,-0.005325192,0.983432737,0.355971897,-0.157700348,0.671457607,0.347568209,-0.462602032,0.355160803,0.293881645,0.020913849,1.072881594,0.301587302,0.25457183,2.994146006,0.159346983,0.347568209,0.301587302,0.698412698,0.652431791,0.706118355,293,304,293,304,704,997,854,704,550,0.644028103,0.358586931,0.358586931,0.066464666,0.002208776,0.002280976,0.788582931,0.31093152,0.48162858,0.564529862,0.695648974,3.195228628,0.462602032,0.462602032,0.089307099,0.392005112,0.220408628,0.698412698,0.652431791,0.462602032,0.455429498,[0.66310103],1008,0.190315251,0.453201669,0.648202711,0.3504953,0.322528363,0.675422245,0.675422245,0.433224655,-2375930.839,-0.208030202,0.704305452,0.659118862,0.684202776,,,,,,,,0.462602032,0.462602032,0.392005112
