id,algorithm,stage,intervention,process,accuracy,recall,selection_rate,sensitivity,specificity,precision,num_positives,error_rate,error_rate_difference,error_rate_ratio,false_discovery_rate,false_discovery_rate_difference,false_discovery_rate_ratio,false_negative_rate,false_negative_rate_difference,false_negative_rate_ratio,false_omission_rate,false_omission_rate_difference,false_omission_rate_ratio,false_positive_rate,false_positive_rate_difference,false_positive_rate_ratio,generalized_entropy_index,generalized_false_negative_rate,generalized_false_positive_rate,generalized_true_negative_rate,generalized_true_positive_rate,negative_predictive_value,num_false_negatives,num_false_positives,num_generalized_false_negatives,num_generalized_false_positives,num_generalized_true_negatives,num_pred_negatives,num_pred_positives,num_true_negatives,num_true_positives,positive_predictive_value,average_abs_odds_difference,average_odds_difference,between_all_groups_coefficient_of_variation,between_all_groups_generalized_entropy_index,between_all_groups_theil_index,between_group_coefficient_of_variation,between_group_generalized_entropy_index,between_group_theil_index,coefficient_of_variation,differential_fairness_bias_amplification,disparate_impact,equal_opportunity_difference,equalized_odds_difference,average_predictive_value_difference,statistical_parity_difference,theil_index,true_negative_rate,true_positive_rate,true_positive_rate_difference,base_rate,consistency,num_negatives,mean_difference,smoothed_empirical_differential_fairness,f1_score,matthews_corrcoef,zero_one_loss,roc_auc_score,balanced_accuracy,fair_utility,log_likelihood,disparate_mistreatment,h_mean_fairness,h_mean_performance,h_mean_mixed,Total_real_time,Total_CPU_usage (%),Total_GPU_usage (%),Total_CPU_time (s),Total_GPU_time (s),Energy_consumption (Ws),CO2_emissions (gCO2e)
455b0f75-3266-4f37-8ecb-e6c223eeb75b,AdaBoostClassifier,BASE_LINE,NONE,BASE_LINE_VALUES,0.69,0.778571429,0.7,0.778571429,0.483333333,0.778571429,140,0.31,0.262458472,1.960486322,0.221428571,0.291866029,2.605263158,0.221428571,0.173387097,1.86,0.516666667,0.176470588,1.36,0.516666667,0.291666667,1.636363636,0.155,0.221428571,0.516666667,0.483333333,0.778571429,0.483333333,31,31,31,31,29,60,140,29,109,0.778571429,0.232526882,0.059139785,0.043229281,0.000934385,0.000907899,0.043229281,0.000934385,0.000907899,0.556776436,-0.334454855,0.964580874,-0.173387097,0.291666667,-0.05769772,-0.024916944,0.214875626,0.483333333,0.778571429,-0.173387097,0.7,[0.721],60,-0.149501661,0.430160611,0.778571429,0.261904762,0.31,0.630952381,0.630952381,0.593637993,-27553.81995,0.11827957,0.922746166,0.731614786,0.848828504,4.619445324,12.4,0,58.44362793,0,243.5151164,0.021037
455b0f75-3266-4f37-8ecb-e6c223eeb75b,GradientBoostingClassifier,BASE_LINE,NONE,BASE_LINE_VALUES,0.69,0.778571429,0.7,0.778571429,0.483333333,0.778571429,140,0.31,0.137873754,1.474285714,0.221428571,0.208333333,2.086956522,0.221428571,0.032258065,1.148148148,0.516666667,-0.019230769,0.962962963,0.516666667,0.1875,1.391304348,0.155,0.221428571,0.516666667,0.483333333,0.778571429,0.483333333,31,31,31,31,29,60,140,29,109,0.778571429,0.109879032,0.077620968,0.057639042,0.00166113,0.001599405,0.057639042,0.00166113,0.001599405,0.556776436,-0.395409369,1.023809524,-0.032258065,0.1875,-0.113782051,0.016611296,0.214875626,0.483333333,0.778571429,-0.032258065,0.7,[0.721],60,-0.149501661,0.430160611,0.778571429,0.261904762,0.31,0.630952381,0.630952381,0.581977247,-31795.91927,0.155241935,0.972970297,0.731614786,0.876577655,4.60689044,23.2,2,108.7017455,9.307058811,1848.982761,0.159731566
455b0f75-3266-4f37-8ecb-e6c223eeb75b,RandomForestClassifier,BASE_LINE,NONE,BASE_LINE_VALUES,0.745,0.864285714,0.765,0.864285714,0.466666667,0.790849673,140,0.255,0.201827243,1.89010989,0.209150327,0.219548872,2.216666667,0.135714286,0.129032258,2.066666667,0.404255319,0.115384615,1.3,0.533333333,0.166666667,1.333333333,0.110549053,0.135714286,0.533333333,0.466666667,0.864285714,0.595744681,19,32,19,32,28,47,153,28,121,0.790849673,0.147849462,0.018817204,0.029496035,0.000435008,0.000426454,0.029496035,0.000435008,0.000426454,0.470210705,-0.180399355,0.923737916,-0.129032258,0.166666667,-0.052082128,-0.0589701,0.145294776,0.466666667,0.864285714,-0.129032258,0.7,[0.721],60,-0.149501661,0.430160611,0.825938567,0.357693055,0.255,0.66547619,0.66547619,0.652953789,-32541.13901,0.037634409,0.927525508,0.783384208,0.873925276,4.646235704,33.7,2,157.9794129,9.307058811,2054.306375,0.177469245
455b0f75-3266-4f37-8ecb-e6c223eeb75b,RidgeClassifierCV,BASE_LINE,NONE,BASE_LINE_VALUES,0.695,0.814285714,0.745,0.814285714,0.416666667,0.765100671,140,0.305,0.268272425,2.00310559,0.234899329,0.273684211,2.368421053,0.185714286,0.213709677,2.325,0.509803922,0.19047619,1.4,0.583333333,0.208333333,1.384615385,0.138721641,0.185714286,0.583333333,0.416666667,0.814285714,0.490196078,26,35,26,35,25,51,149,25,114,0.765100671,0.211021505,-0.002688172,0.023993285,0.000287839,0.000283204,0.023993285,0.000287839,0.000283204,0.526728851,-0.142377124,0.897802198,-0.213709677,0.213709677,-0.04160401,-0.077242525,0.188137673,0.416666667,0.814285714,-0.213709677,0.7,[0.721],60,-0.149501661,0.430160611,0.788927336,0.24281967,0.305,0.61547619,0.61547619,0.617130696,-29202.60635,-0.005376344,0.894448433,0.738991034,0.835838233,4.555867434,44.2,2,206.308201,9.307058811,2255.676326,0.194865371
455b0f75-3266-4f37-8ecb-e6c223eeb75b,NuSVC,BASE_LINE,NONE,BASE_LINE_VALUES,0.705,0.835714286,0.765,0.835714286,0.4,0.764705882,140,0.295,0.155315615,1.568389058,0.235294118,0.202984039,1.984848485,0.164285714,0.026209677,1.1625,0.489361702,0.012195122,1.025,0.6,0.1875,1.333333333,0.128182239,0.164285714,0.6,0.4,0.835714286,0.510638298,23,36,23,36,24,47,153,24,117,0.764705882,0.106854839,0.080645161,0.056556618,0.001599326,0.00154094,0.056556618,0.001599326,0.00154094,0.506324479,-0.362265125,1.031624864,-0.026209677,0.1875,-0.095394458,0.024086379,0.171328473,0.4,0.835714286,-0.026209677,0.7,[0.721],60,-0.149501661,0.430160611,0.798634812,0.254759802,0.295,0.617857143,0.617857143,0.568029954,-29628.771,0.161290323,0.973553452,0.748901978,0.88505544,4.648299694,55.8,2,260.7722246,9.307058811,2482.609758,0.214469899
455b0f75-3266-4f37-8ecb-e6c223eeb75b,LinearDiscriminantAnalysis,BASE_LINE,NONE,BASE_LINE_VALUES,0.7,0.8,0.72,0.8,0.466666667,0.777777778,140,0.3,0.274086379,2.047619048,0.222222222,0.289684211,2.574370709,0.2,0.197580645,2.113636364,0.5,0.19858156,1.424242424,0.533333333,0.270833333,1.565217391,0.143983083,0.2,0.533333333,0.466666667,0.8,0.5,28,32,28,32,28,56,144,28,112,0.777777778,0.234206989,0.036626344,0.034470407,0.000594104,0.000580534,0.034470407,0.000594104,0.000580534,0.536624792,-0.253602759,0.933714286,-0.197580645,0.270833333,-0.045551325,-0.048172757,0.197655312,0.466666667,0.8,-0.197580645,0.7,[0.721],60,-0.149501661,0.430160611,0.788732394,0.272165527,0.3,0.633333333,0.633333333,0.610136649,-34082.75296,0.073252688,0.907883374,0.741721854,0.844799038,4.525465012,68.5,2,318.8409307,9.307058811,2724.562699,0.235371944
455b0f75-3266-4f37-8ecb-e6c223eeb75b,NN_CONFIG,BASE_LINE,NONE,NN,0.67,0.757142857,0.69,0.757142857,0.466666667,0.768115942,140,0.33,0.239202658,1.806722689,0.231884058,0.2804069,2.450800915,0.242857143,0.149193548,1.660714286,0.548387097,0.13836478,1.261904762,0.533333333,0.270833333,1.565217391,0.168299153,0.242857143,0.533333333,0.466666667,0.757142857,0.451612903,34,32,34,32,28,62,138,28,106,0.768115942,0.210013441,0.060819892,0.047741429,0.001139622,0.001104137,0.047741429,0.001139622,0.001104137,0.580170929,-0.372554702,0.980792317,-0.149193548,0.270833333,-0.07102106,-0.013289037,0.234097909,0.466666667,0.757142857,-0.149193548,0.7,[0.721],60,-0.149501661,0.430160611,0.762589928,0.221759798,0.33,0.611904762,0.611904762,0.57468878,,0.121639785,0.936074139,0.713302867,0.847814012,,,,,,,
455b0f75-3266-4f37-8ecb-e6c223eeb75b,RidgeClassifierCV,BASE_LINE,HYPERPARAMETER,HYPERPARAMETER,0.695,0.814285714,0.745,0.814285714,0.416666667,0.765100671,140,0.305,0.268272425,2.00310559,0.234899329,0.273684211,2.368421053,0.185714286,0.213709677,2.325,0.509803922,0.19047619,1.4,0.583333333,0.208333333,1.384615385,0.138721641,0.185714286,0.583333333,0.416666667,0.814285714,0.490196078,26,35,26,35,25,51,149,25,114,0.765100671,0.211021505,-0.002688172,0.023993285,0.000287839,0.000283204,0.023993285,0.000287839,0.000283204,0.526728851,-0.142377124,0.897802198,-0.213709677,0.213709677,-0.04160401,-0.077242525,0.188137673,0.416666667,0.814285714,-0.213709677,0.7,[0.721],60,-0.149501661,0.430160611,0.788927336,0.24281967,0.305,0.61547619,0.61547619,0.617130696,-29202.60635,-0.005376344,0.894448433,0.738991034,0.835838233,,,,,,,
455b0f75-3266-4f37-8ecb-e6c223eeb75b,AdaBoostClassifier,BASE_LINE,HYPERPARAMETER,HYPERPARAMETER,0.69,0.785714286,0.71,0.785714286,0.466666667,0.774647887,140,0.31,0.220930233,1.791666667,0.225352113,0.250896057,2.296296296,0.214285714,0.181451613,1.9375,0.517241379,0.1,1.2,0.533333333,0.166666667,1.333333333,0.151896873,0.214285714,0.533333333,0.466666667,0.785714286,0.482758621,30,32,30,32,28,58,142,28,110,0.774647887,0.17405914,-0.007392473,0.024539394,0.000301091,0.000296135,0.024539394,0.000301091,0.000296135,0.551174878,-0.174353387,0.891705069,-0.181451613,0.181451613,-0.075448029,-0.07807309,0.209660657,0.466666667,0.785714286,-0.181451613,0.7,[0.721],60,-0.149501661,0.430160611,0.780141844,0.254881344,0.31,0.626190476,0.626190476,0.630819572,-27610.76458,-0.014784946,0.901864897,0.732307395,0.83724657,,,,,,,
455b0f75-3266-4f37-8ecb-e6c223eeb75b,AdaBoostClassifier,BASE_LINE,SMOTE,SMOTE,0.665,0.714285714,0.635,0.714285714,0.55,0.787401575,140,0.335,0.150332226,1.478835979,0.212598425,0.229946524,2.264705882,0.285714286,0.100806452,1.367647059,0.547945205,-0.002932551,0.994652406,0.45,0.166666667,1.4,0.189181847,0.285714286,0.45,0.55,0.714285714,0.452054795,40,27,40,27,33,73,127,33,100,0.787401575,0.133736559,0.032930108,0.043460454,0.000944406,0.000917499,0.043460454,0.000944406,0.000917499,0.615112749,-0.336984368,0.949350649,-0.100806452,0.166666667,-0.116439538,-0.032392027,0.267368898,0.55,0.714285714,-0.100806452,0.7,[0.721],60,-0.149501661,0.430160611,0.74906367,0.251564897,0.335,0.632142857,0.632142857,0.611326325,-27600.7682,0.065860215,0.944959194,0.704533114,0.848446713,,,,,,,
455b0f75-3266-4f37-8ecb-e6c223eeb75b,GradientBoostingClassifier,BASE_LINE,SMOTE,SMOTE,0.705,0.742857143,0.635,0.742857143,0.616666667,0.818897638,140,0.295,0.196843854,1.736024845,0.181102362,0.26631016,2.830882353,0.257142857,0.133064516,1.55,0.493150685,0.061583578,1.127272727,0.383333333,0.25,1.75,0.166304441,0.257142857,0.383333333,0.616666667,0.742857143,0.506849315,36,23,36,23,37,73,127,37,104,0.818897638,0.191532258,0.058467742,0.043460454,0.000944406,0.000917499,0.043460454,0.000944406,0.000917499,0.576722535,-0.336984368,0.949350649,-0.133064516,0.25,-0.102363291,-0.032392027,0.237715543,0.616666667,0.742857143,-0.133064516,0.7,[0.721],60,-0.149501661,0.430160611,0.779026217,0.342218914,0.295,0.679761905,0.679761905,0.640017761,-32674.37042,0.116935484,0.929710441,0.74016682,0.856591163,,,,,,,
455b0f75-3266-4f37-8ecb-e6c223eeb75b,RandomForestClassifier,BASE_LINE,SMOTE,SMOTE,0.735,0.785714286,0.665,0.785714286,0.616666667,0.827067669,140,0.265,0.231727575,1.996428571,0.172932331,0.234615385,2.564102564,0.214285714,0.322580645,2.818181818,0.447761194,0.11025641,1.260606061,0.383333333,0.041666667,1.111111111,0.141627963,0.214285714,0.383333333,0.616666667,0.785714286,0.552238806,30,23,30,23,37,67,133,37,110,0.827067669,0.182123656,-0.140456989,0.030163436,0.000454916,0.000464791,0.030163436,0.000454916,0.000464791,0.532217931,0.135862008,0.66547619,-0.322580645,0.322580645,-0.062179487,-0.233388704,0.200833241,0.616666667,0.785714286,-0.322580645,0.7,[0.721],60,-0.149501661,0.430160611,0.805860806,0.390673394,0.265,0.701190476,0.701190476,0.799677579,-29343.29969,-0.280913978,0.734386288,0.768801036,0.745510341,,,,,,,
455b0f75-3266-4f37-8ecb-e6c223eeb75b,RidgeClassifierCV,BASE_LINE,SMOTE,SMOTE,0.7,0.792857143,0.71,0.792857143,0.483333333,0.781690141,140,0.3,0.23255814,1.869565217,0.218309859,0.258960573,2.396135266,0.207142857,0.189516129,2.02173913,0.5,0.120833333,1.252173913,0.516666667,0.1875,1.391304348,0.146995393,0.207142857,0.516666667,0.483333333,0.792857143,0.5,29,31,29,31,29,58,142,29,111,0.781690141,0.188508065,-0.001008065,0.024539394,0.000301091,0.000296135,0.024539394,0.000301091,0.000296135,0.542209171,-0.174353387,0.891705069,-0.189516129,0.189516129,-0.06906362,-0.07807309,0.202797814,0.483333333,0.792857143,-0.189516129,0.7,[0.721],60,-0.149501661,0.430160611,0.787234043,0.278926754,0.3,0.638095238,0.638095238,0.638738479,-32927.51991,-0.002016129,0.900703793,0.741058655,0.840358104,,,,,,,
455b0f75-3266-4f37-8ecb-e6c223eeb75b,NuSVC,BASE_LINE,SMOTE,SMOTE,0.7,0.8,0.72,0.8,0.466666667,0.777777778,140,0.3,0.23255814,1.869565217,0.222222222,0.253968254,2.333333333,0.2,0.197580645,2.113636364,0.5,0.12173913,1.254545455,0.533333333,0.166666667,1.333333333,0.143983083,0.2,0.533333333,0.466666667,0.8,0.5,28,32,28,32,28,56,144,28,112,0.777777778,0.182123656,-0.015456989,0.020343191,0.000206923,0.000204085,0.020343191,0.000206923,0.000204085,0.536624792,-0.132241902,0.87755102,-0.197580645,0.197580645,-0.066114562,-0.089700997,0.197655312,0.466666667,0.8,-0.197580645,0.7,[0.721],60,-0.149501661,0.430160611,0.788732394,0.272165527,0.3,0.633333333,0.633333333,0.64312276,-35743.8131,-0.030913978,0.888887734,0.741721854,0.833746221,,,,,,,
455b0f75-3266-4f37-8ecb-e6c223eeb75b,LinearDiscriminantAnalysis,BASE_LINE,SMOTE,SMOTE,0.69,0.8,0.73,0.8,0.433333333,0.767123288,140,0.31,0.262458472,1.960486322,0.232876712,0.276833817,2.406315789,0.2,0.197580645,2.113636364,0.518518519,0.177777778,1.363636364,0.566666667,0.229166667,1.44,0.145678198,0.2,0.566666667,0.433333333,0.8,0.481481481,28,34,28,34,26,54,146,26,112,0.767123288,0.213373656,0.015793011,0.030218527,0.00045658,0.00044739,0.030218527,0.00045658,0.00044739,0.539774393,-0.210585374,0.919010124,-0.197580645,0.229166667,-0.04952802,-0.059800664,0.199247063,0.433333333,0.8,-0.197580645,0.7,[0.721],60,-0.149501661,0.430160611,0.783216783,0.240848042,0.31,0.616666667,0.616666667,0.606927643,-39151.05925,0.031586022,0.906205648,0.733659278,0.840327872,,,,,,,
455b0f75-3266-4f37-8ecb-e6c223eeb75b,RidgeClassifierCV,BASE_LINE,SMOTE,HYPERPARAMETER,0.7,0.792857143,0.71,0.792857143,0.483333333,0.781690141,140,0.3,0.23255814,1.869565217,0.218309859,0.258960573,2.396135266,0.207142857,0.189516129,2.02173913,0.5,0.120833333,1.252173913,0.516666667,0.1875,1.391304348,0.146995393,0.207142857,0.516666667,0.483333333,0.792857143,0.5,29,31,29,31,29,58,142,29,111,0.781690141,0.188508065,-0.001008065,0.024539394,0.000301091,0.000296135,0.024539394,0.000301091,0.000296135,0.542209171,-0.174353387,0.891705069,-0.189516129,0.189516129,-0.06906362,-0.07807309,0.202797814,0.483333333,0.792857143,-0.189516129,0.7,[0.721],60,-0.149501661,0.430160611,0.787234043,0.278926754,0.3,0.638095238,0.638095238,0.638738479,-32927.51991,-0.002016129,0.900703793,0.741058655,0.840358104,,,,,,,
455b0f75-3266-4f37-8ecb-e6c223eeb75b,AdaBoostClassifier,BASE_LINE,SMOTE,HYPERPARAMETER,0.655,0.707142857,0.635,0.707142857,0.533333333,0.779527559,140,0.345,0.180232558,1.563636364,0.220472441,0.260958206,2.422222222,0.292857143,0.092741935,1.328571429,0.561643836,0.044444444,1.08,0.466666667,0.25,1.6,0.194901198,0.292857143,0.466666667,0.533333333,0.707142857,0.438356164,41,28,41,28,32,73,127,32,99,0.779527559,0.171370968,0.078629032,0.058871962,0.001732954,0.001667278,0.058871962,0.001732954,0.001667278,0.62434157,-0.416491727,1.014416776,-0.092741935,0.25,-0.108256881,0.009136213,0.274782237,0.533333333,0.707142857,-0.092741935,0.7,[0.721],60,-0.149501661,0.430160611,0.741573034,0.228901393,0.345,0.620238095,0.620238095,0.571469374,-27650.44547,0.157258065,0.956349814,0.695603202,0.850126597,,,,,,,
455b0f75-3266-4f37-8ecb-e6c223eeb75b,AdaBoostClassifier,BASE_LINE,ROS,ROS,0.655,0.65,0.555,0.65,0.666666667,0.81981982,140,0.345,0.09717608,1.293233083,0.18018018,0.227631579,2.544642857,0.35,0.028225806,1.081395349,0.550561798,-0.058441558,0.895348837,0.333333333,0.208333333,1.714285714,0.221589549,0.35,0.333333333,0.666666667,0.65,0.449438202,49,20,49,20,40,89,111,40,91,0.81981982,0.11827957,0.090053763,0.068425295,0.002341011,0.002239026,0.068425295,0.002341011,0.002239026,0.66571698,-0.391607083,1.034586466,-0.028225806,0.208333333,-0.143036569,0.01910299,0.318793501,0.666666667,0.65,-0.028225806,0.7,[0.721],60,-0.149501661,0.430160611,0.725099602,0.292001781,0.345,0.658333333,0.658333333,0.599047939,-27688.89242,0.180107527,0.972276399,0.688269511,0.854713652,,,,,,,
455b0f75-3266-4f37-8ecb-e6c223eeb75b,GradientBoostingClassifier,BASE_LINE,ROS,ROS,0.675,0.664285714,0.555,0.664285714,0.7,0.837837838,140,0.325,0.037375415,1.116883117,0.162162162,0.141384389,1.979591837,0.335714286,0.044354839,1.134146341,0.528089888,-0.118095238,0.783972125,0.3,0.041666667,1.142857143,0.207910126,0.335714286,0.3,0.7,0.664285714,0.471910112,47,18,47,18,42,89,111,42,93,0.837837838,0.043010753,-0.001344086,0.034718253,0.000602679,0.000588817,0.034718253,0.000602679,0.000588817,0.644841261,-0.294148853,0.886597938,-0.044354839,0.044354839,-0.129739813,-0.063953488,0.302579532,0.7,0.664285714,-0.044354839,0.7,[0.721],60,-0.149501661,0.430160611,0.741035857,0.335911824,0.325,0.682142857,0.682142857,0.683059716,-34356.75751,-0.002688172,0.942509433,0.70647816,0.848064544,,,,,,,
455b0f75-3266-4f37-8ecb-e6c223eeb75b,RandomForestClassifier,BASE_LINE,ROS,ROS,0.7,0.778571429,0.69,0.778571429,0.516666667,0.789855072,140,0.3,0.1910299,1.699088146,0.210144928,0.244582043,2.385964912,0.221428571,0.102822581,1.490384615,0.5,0.064989518,1.132478632,0.483333333,0.229166667,1.523809524,0.152994592,0.221428571,0.483333333,0.516666667,0.778571429,0.5,31,29,31,29,31,62,138,31,109,0.789855072,0.165994624,0.063172043,0.047741429,0.001139622,0.001104137,0.047741429,0.001139622,0.001104137,0.553162892,-0.372554702,0.980792317,-0.102822581,0.229166667,-0.089796263,-0.013289037,0.213093449,0.516666667,0.778571429,-0.102822581,0.7,[0.721],60,-0.149501661,0.430160611,0.784172662,0.292534202,0.3,0.647619048,0.647619048,0.606707629,-31376.73576,0.126344086,0.948971332,0.739699467,0.86719097,,,,,,,
455b0f75-3266-4f37-8ecb-e6c223eeb75b,RidgeClassifierCV,BASE_LINE,ROS,ROS,0.66,0.65,0.55,0.65,0.683333333,0.827272727,140,0.34,0.144518272,1.451948052,0.172727273,0.240285488,2.664835165,0.35,0.169354839,1.512195122,0.544444444,-0.013333333,0.975609756,0.316666667,0.125,1.428571429,0.219723183,0.35,0.316666667,0.683333333,0.65,0.455555556,49,19,49,19,41,90,110,41,91,0.827272727,0.147177419,-0.022177419,0.020343191,0.000206923,0.000204085,0.020343191,0.000206923,0.000204085,0.66290751,-0.227457479,0.823269514,-0.169354839,0.169354839,-0.126809411,-0.099667774,0.317457711,0.683333333,0.65,-0.169354839,0.7,[0.721],60,-0.149501661,0.430160611,0.728,0.307044124,0.34,0.666666667,0.666666667,0.681451613,-34677.7051,-0.044354839,0.87874735,0.692334294,0.806374449,,,,,,,
455b0f75-3266-4f37-8ecb-e6c223eeb75b,NuSVC,BASE_LINE,ROS,ROS,0.67,0.7,0.61,0.7,0.6,0.803278689,140,0.33,-0.009966777,0.969924812,0.196721311,0.113165266,1.625386997,0.3,-0.056451613,0.815789474,0.538461538,-0.203527815,0.641148325,0.4,0.020833333,1.052631579,0.194360584,0.3,0.4,0.6,0.7,0.461538462,42,24,42,24,36,78,122,36,98,0.803278689,0.038642473,0.038642473,0.055738854,0.00155341,0.001497467,0.055738854,0.00155341,0.001497467,0.623475075,-0.413945409,0.994557823,0.056451613,0.056451613,-0.158346541,-0.003322259,0.277118727,0.6,0.7,0.056451613,0.7,[0.721],60,-0.149501661,0.430160611,0.748091603,0.281860152,0.33,0.65,0.65,0.624882392,-37119.21296,-0.03561828,0.973513121,0.706895624,0.864789811,,,,,,,
