id,algorithm,stage,intervention,process,accuracy,recall,selection_rate,sensitivity,specificity,precision,num_positives,error_rate,error_rate_difference,error_rate_ratio,false_discovery_rate,false_discovery_rate_difference,false_discovery_rate_ratio,false_negative_rate,false_negative_rate_difference,false_negative_rate_ratio,false_omission_rate,false_omission_rate_difference,false_omission_rate_ratio,false_positive_rate,false_positive_rate_difference,false_positive_rate_ratio,generalized_entropy_index,generalized_false_negative_rate,generalized_false_positive_rate,generalized_true_negative_rate,generalized_true_positive_rate,negative_predictive_value,num_false_negatives,num_false_positives,num_generalized_false_negatives,num_generalized_false_positives,num_generalized_true_negatives,num_pred_negatives,num_pred_positives,num_true_negatives,num_true_positives,positive_predictive_value,average_abs_odds_difference,average_odds_difference,between_all_groups_coefficient_of_variation,between_all_groups_generalized_entropy_index,between_all_groups_theil_index,between_group_coefficient_of_variation,between_group_generalized_entropy_index,between_group_theil_index,coefficient_of_variation,differential_fairness_bias_amplification,disparate_impact,equal_opportunity_difference,equalized_odds_difference,average_predictive_value_difference,statistical_parity_difference,theil_index,true_negative_rate,true_positive_rate,true_positive_rate_difference,base_rate,consistency,num_negatives,mean_difference,smoothed_empirical_differential_fairness,f1_score,matthews_corrcoef,zero_one_loss,roc_auc_score,balanced_accuracy,fair_utility,log_likelihood,disparate_mistreatment,h_mean_fairness,h_mean_performance,h_mean_mixed,Total_real_time,Total_CPU_usage (%),Total_GPU_usage (%),Total_CPU_time (s),Total_GPU_time (s),Energy_consumption (Ws),CO2_emissions (gCO2e)
fc83c766-32f0-453e-aed1-fa95a7a17a9a,AdaBoostClassifier,BASE_LINE,NONE,BASE_LINE_VALUES,0.69,0.778571429,0.7,0.778571429,0.483333333,0.778571429,140,0.31,0.104761905,1.376068376,0.221428571,0.100763735,1.525032092,0.221428571,0.075,1.375,0.516666667,0.09114249,1.186842105,0.516666667,0.125,1.263157895,0.155,0.221428571,0.516666667,0.483333333,0.778571429,0.483333333,31,31,31,31,29,60,140,29,109,0.778571429,0.1,0.025,0.010910895,5.95E-05,5.93E-05,0.010910895,5.95E-05,5.93E-05,0.556776436,-0.074401874,0.966329966,-0.075,0.125,-0.004810622,-0.023809524,0.214875626,0.483333333,0.778571429,-0.075,0.7,[0.721],60,-0.047619048,0.157008938,0.778571429,0.261904762,0.31,0.630952381,0.630952381,0.615178571,-27553.81995,0.05,0.960163868,0.731614786,0.86961127,4.594066143,14.3,0,67.46705813,0,281.1127422,0.024285017
fc83c766-32f0-453e-aed1-fa95a7a17a9a,GradientBoostingClassifier,BASE_LINE,NONE,BASE_LINE_VALUES,0.69,0.778571429,0.7,0.778571429,0.483333333,0.778571429,140,0.31,0.104761905,1.376068376,0.221428571,0.100763735,1.525032092,0.221428571,0.075,1.375,0.516666667,0.09114249,1.186842105,0.516666667,0.125,1.263157895,0.155,0.221428571,0.516666667,0.483333333,0.778571429,0.483333333,31,31,31,31,29,60,140,29,109,0.778571429,0.1,0.025,0.010910895,5.95E-05,5.93E-05,0.010910895,5.95E-05,5.93E-05,0.556776436,-0.074401874,0.966329966,-0.075,0.125,-0.004810622,-0.023809524,0.214875626,0.483333333,0.778571429,-0.075,0.7,[0.721],60,-0.047619048,0.157008938,0.778571429,0.261904762,0.31,0.630952381,0.630952381,0.615178571,-31795.91927,0.05,0.960163868,0.731614786,0.86961127,4.653385639,26.9,0,126.6903392,0,527.8764133,0.045602657
fc83c766-32f0-453e-aed1-fa95a7a17a9a,RandomForestClassifier,BASE_LINE,NONE,BASE_LINE_VALUES,0.745,0.864285714,0.765,0.864285714,0.466666667,0.790849673,140,0.255,0.04047619,1.166666667,0.209150327,0.03255814,1.162790698,0.135714286,0.055,1.458333333,0.404255319,0.011764706,1.029411765,0.533333333,-0.05,0.909090909,0.110549053,0.135714286,0.533333333,0.466666667,0.864285714,0.595744681,19,32,19,32,28,47,153,28,121,0.790849673,0.0525,-0.0525,0.009220474,4.25E-05,4.26E-05,0.009220474,4.25E-05,4.26E-05,0.470210705,0.125351285,0.912121212,-0.055,0.055,-0.010396717,-0.069047619,0.145294776,0.466666667,0.864285714,-0.055,0.7,[0.721],60,-0.047619048,0.157008938,0.825938567,0.357693055,0.255,0.66547619,0.66547619,0.70041369,-32541.13901,-0.005,0.933679716,0.783384208,0.877558629,4.63889122,40,0,187.9299901,0,783.0416255,0.067646096
fc83c766-32f0-453e-aed1-fa95a7a17a9a,RidgeClassifierCV,BASE_LINE,NONE,BASE_LINE_VALUES,0.695,0.814285714,0.745,0.814285714,0.416666667,0.765100671,140,0.305,0.088095238,1.316239316,0.234899329,0.054816514,1.248958333,0.185714286,0.125,1.833333333,0.509803922,0.066129032,1.136666667,0.583333333,-0.05,0.916666667,0.138721641,0.185714286,0.583333333,0.416666667,0.814285714,0.490196078,26,35,26,35,25,51,149,25,114,0.765100671,0.0875,-0.0875,0.028190828,0.000397361,0.000400716,0.028190828,0.000397361,0.000400716,0.526728851,0.251314428,0.856269113,-0.125,0.125,0.005656259,-0.111904762,0.188137673,0.416666667,0.814285714,-0.125,0.7,[0.721],60,-0.047619048,0.157008938,0.788927336,0.24281967,0.305,0.61547619,0.61547619,0.669330357,-29202.60635,-0.075,0.882493739,0.738991034,0.828843438,4.587722301,53.1,2,248.6432804,9.269204617,2426.394361,0.209613513
fc83c766-32f0-453e-aed1-fa95a7a17a9a,NuSVC,BASE_LINE,NONE,BASE_LINE_VALUES,0.705,0.835714286,0.765,0.835714286,0.4,0.764705882,140,0.295,0.078571429,1.289473684,0.235294118,0.060887949,1.279069767,0.164285714,0.085,1.607142857,0.489361702,0.062745098,1.134453782,0.6,0,1,0.128182239,0.164285714,0.6,0.4,0.835714286,0.510638298,23,36,23,36,24,47,153,24,117,0.764705882,0.0425,-0.0425,0.009220474,4.25E-05,4.26E-05,0.009220474,4.25E-05,4.26E-05,0.506324479,0.125351285,0.912121212,-0.085,0.085,0.000928574,-0.069047619,0.171328473,0.4,0.835714286,-0.085,0.7,[0.721],60,-0.047619048,0.157008938,0.798634812,0.254759802,0.295,0.617857143,0.617857143,0.644116071,-29628.771,-0.085,0.928548881,0.748901978,0.859799222,4.651072979,66.1,3,309.7380274,13.96880054,3385.895196,0.292503724
fc83c766-32f0-453e-aed1-fa95a7a17a9a,LinearDiscriminantAnalysis,BASE_LINE,NONE,BASE_LINE_VALUES,0.7,0.8,0.72,0.8,0.466666667,0.777777778,140,0.3,0.119047619,1.45045045,0.222222222,0.082051282,1.41025641,0.2,0.14,1.875,0.5,0.114285714,1.25,0.533333333,0.025,1.047619048,0.143983083,0.2,0.533333333,0.466666667,0.8,0.5,28,32,28,32,28,56,144,28,112,0.777777778,0.0825,-0.0575,0.023533302,0.000276908,0.00027885,0.023533302,0.000276908,0.00027885,0.536624792,0.179397327,0.866666667,-0.14,0.14,0.016117216,-0.1,0.197655312,0.466666667,0.8,-0.14,0.7,[0.721],60,-0.047619048,0.157008938,0.788732394,0.272165527,0.3,0.633333333,0.633333333,0.66975,-34082.75296,-0.115,0.891115505,0.741721854,0.835051627,4.566250086,83.6,3,390.2052438,13.96880054,3721.175264,0.321468196
fc83c766-32f0-453e-aed1-fa95a7a17a9a,NN_CONFIG,BASE_LINE,NONE,NN,0.7,0.807142857,0.73,0.807142857,0.45,0.773972603,140,0.3,0.071428571,1.256410256,0.226027397,0.058768873,1.280487805,0.192857143,0.08,1.470588235,0.5,0.040601504,1.083591331,0.55,0,1,0.140965218,0.192857143,0.55,0.45,0.807142857,0.5,27,33,27,33,27,54,146,27,113,0.773972603,0.04,-0.04,0.008474481,3.59E-05,3.60E-05,0.008474481,3.59E-05,3.60E-05,0.53097122,0.081758857,0.911111111,-0.08,0.08,-0.009083685,-0.066666667,0.192517479,0.45,0.807142857,-0.08,0.7,[0.721],60,-0.047619048,0.157008938,0.79020979,0.265424373,0.3,0.628571429,0.628571429,0.653714286,,-0.08,0.930749289,0.742374472,0.858163963,,,,,,,
fc83c766-32f0-453e-aed1-fa95a7a17a9a,RidgeClassifierCV,BASE_LINE,HYPERPARAMETER,HYPERPARAMETER,0.695,0.814285714,0.745,0.814285714,0.416666667,0.765100671,140,0.305,0.088095238,1.316239316,0.234899329,0.054816514,1.248958333,0.185714286,0.125,1.833333333,0.509803922,0.066129032,1.136666667,0.583333333,-0.05,0.916666667,0.138721641,0.185714286,0.583333333,0.416666667,0.814285714,0.490196078,26,35,26,35,25,51,149,25,114,0.765100671,0.0875,-0.0875,0.028190828,0.000397361,0.000400716,0.028190828,0.000397361,0.000400716,0.526728851,0.251314428,0.856269113,-0.125,0.125,0.005656259,-0.111904762,0.188137673,0.416666667,0.814285714,-0.125,0.7,[0.721],60,-0.047619048,0.157008938,0.788927336,0.24281967,0.305,0.61547619,0.61547619,0.669330357,-29202.60635,-0.075,0.882493739,0.738991034,0.828843438,,,,,,,
fc83c766-32f0-453e-aed1-fa95a7a17a9a,AdaBoostClassifier,BASE_LINE,HYPERPARAMETER,HYPERPARAMETER,0.69,0.785714286,0.71,0.785714286,0.466666667,0.774647887,140,0.31,0.104761905,1.376068376,0.225352113,0.094663125,1.47804878,0.214285714,0.085,1.447368421,0.517241379,0.091767881,1.188365651,0.533333333,0.1,1.2,0.151896873,0.214285714,0.533333333,0.466666667,0.785714286,0.482758621,30,32,30,32,28,58,142,28,110,0.774647887,0.0925,0.0075,0.004321146,9.34E-06,9.32E-06,0.004321146,9.34E-06,9.32E-06,0.551174878,-0.025009118,0.947194719,-0.085,0.1,-0.001447622,-0.038095238,0.209660657,0.466666667,0.785714286,-0.085,0.7,[0.721],60,-0.047619048,0.157008938,0.780141844,0.254881344,0.31,0.626190476,0.626190476,0.621494048,-27610.76458,0.015,0.953332937,0.732307395,0.866188403,,,,,,,
fc83c766-32f0-453e-aed1-fa95a7a17a9a,AdaBoostClassifier,BASE_LINE,SMOTE,SMOTE,0.665,0.714285714,0.635,0.714285714,0.55,0.787401575,140,0.335,0.14047619,1.479674797,0.212598425,0.111321948,1.60899654,0.285714286,0.16,1.666666667,0.547945205,0.104746318,1.205128205,0.45,0.075,1.176470588,0.189181847,0.285714286,0.45,0.55,0.714285714,0.452054795,40,27,40,27,33,73,127,33,100,0.787401575,0.1175,-0.0425,0.024505752,0.000300266,0.000302461,0.024505752,0.000300266,0.000302461,0.615112749,0.09729211,0.853046595,-0.16,0.16,-0.003287815,-0.097619048,0.267368898,0.55,0.714285714,-0.16,0.7,[0.721],60,-0.047619048,0.157008938,0.74906367,0.251564897,0.335,0.632142857,0.632142857,0.659008929,-27600.7682,-0.085,0.885874761,0.704533114,0.815874709,,,,,,,
fc83c766-32f0-453e-aed1-fa95a7a17a9a,GradientBoostingClassifier,BASE_LINE,SMOTE,SMOTE,0.705,0.742857143,0.635,0.742857143,0.616666667,0.818897638,140,0.295,0.15,1.6,0.181102362,0.06838488,1.414583333,0.257142857,0.235,2.236842105,0.493150685,0.124806202,1.28245614,0.383333333,-0.05,0.875,0.166304441,0.257142857,0.383333333,0.616666667,0.742857143,0.506849315,36,23,36,23,37,73,127,37,104,0.818897638,0.1425,-0.1425,0.071183376,0.002533537,0.002590018,0.071183376,0.002533537,0.002590018,0.576722535,0.325842833,0.721649485,-0.235,0.235,0.028210661,-0.192857143,0.237715543,0.616666667,0.742857143,-0.235,0.7,[0.721],60,-0.047619048,0.157008938,0.779026217,0.342218914,0.295,0.679761905,0.679761905,0.776627976,-32674.37042,-0.185,0.784617936,0.74016682,0.76921931,,,,,,,
fc83c766-32f0-453e-aed1-fa95a7a17a9a,RandomForestClassifier,BASE_LINE,SMOTE,SMOTE,0.735,0.785714286,0.665,0.785714286,0.616666667,0.827067669,140,0.265,0.121428571,1.53125,0.172932331,0.075510204,1.493333333,0.214285714,0.155,1.911764706,0.447761194,0.115238095,1.284705882,0.383333333,0.025,1.066666667,0.141627963,0.214285714,0.383333333,0.616666667,0.785714286,0.552238806,30,23,30,23,37,67,133,37,110,0.827067669,0.09,-0.065,0.032789217,0.000537566,0.000542869,0.032789217,0.000537566,0.000542869,0.532217931,0.170051464,0.833333333,-0.155,0.155,0.019863946,-0.116666667,0.200833241,0.616666667,0.785714286,-0.155,0.7,[0.721],60,-0.047619048,0.157008938,0.805860806,0.390673394,0.265,0.701190476,0.701190476,0.746767857,-29343.29969,-0.13,0.872405059,0.768801036,0.834901156,,,,,,,
fc83c766-32f0-453e-aed1-fa95a7a17a9a,RidgeClassifierCV,BASE_LINE,SMOTE,SMOTE,0.7,0.792857143,0.71,0.792857143,0.483333333,0.781690141,140,0.3,0.142857143,1.555555556,0.218309859,0.097165992,1.505263158,0.207142857,0.165,2.03125,0.5,0.146464646,1.329545455,0.516666667,0.05,1.1,0.146995393,0.207142857,0.516666667,0.483333333,0.792857143,0.5,29,31,29,31,29,58,142,29,111,0.781690141,0.1075,-0.0575,0.028087451,0.000394452,0.00039777,0.028087451,0.000394452,0.00039777,0.542209171,0.197080137,0.852564103,-0.165,0.165,0.024649327,-0.10952381,0.202797814,0.483333333,0.792857143,-0.165,0.7,[0.721],60,-0.047619048,0.157008938,0.787234043,0.278926754,0.3,0.638095238,0.638095238,0.674785714,-32927.51991,-0.115,0.878244617,0.741058655,0.827200397,,,,,,,
fc83c766-32f0-453e-aed1-fa95a7a17a9a,NuSVC,BASE_LINE,SMOTE,SMOTE,0.7,0.8,0.72,0.8,0.466666667,0.777777778,140,0.3,0.142857143,1.555555556,0.222222222,0.091360477,1.461152882,0.2,0.175,2.166666667,0.5,0.14973262,1.339393939,0.533333333,0.025,1.047619048,0.143983083,0.2,0.533333333,0.466666667,0.8,0.5,28,32,28,32,28,56,144,28,112,0.777777778,0.1,-0.075,0.034230257,0.000585855,0.000591898,0.034230257,0.000585855,0.000591898,0.536624792,0.253433073,0.836477987,-0.175,0.175,0.029186072,-0.123809524,0.197655312,0.466666667,0.8,-0.175,0.7,[0.721],60,-0.047619048,0.157008938,0.788732394,0.272165527,0.3,0.633333333,0.633333333,0.680833333,-35743.8131,-0.15,0.863931751,0.741721854,0.818953429,,,,,,,
fc83c766-32f0-453e-aed1-fa95a7a17a9a,LinearDiscriminantAnalysis,BASE_LINE,SMOTE,SMOTE,0.69,0.8,0.73,0.8,0.433333333,0.767123288,140,0.31,0.104761905,1.376068376,0.232876712,0.067098011,1.312151616,0.2,0.14,1.875,0.518518519,0.086580087,1.178571429,0.566666667,-0.025,0.956521739,0.145678198,0.2,0.566666667,0.433333333,0.8,0.481481481,28,34,28,34,26,54,146,26,112,0.767123288,0.0825,-0.0825,0.029660684,0.000439878,0.000443791,0.029660684,0.000439878,0.000443791,0.539774393,0.237384584,0.85046729,-0.14,0.14,0.009741038,-0.114285714,0.199247063,0.433333333,0.8,-0.14,0.7,[0.721],60,-0.047619048,0.157008938,0.783216783,0.240848042,0.31,0.616666667,0.616666667,0.667541667,-39151.05925,-0.115,0.877661571,0.733659278,0.823765473,,,,,,,
fc83c766-32f0-453e-aed1-fa95a7a17a9a,RidgeClassifierCV,BASE_LINE,SMOTE,HYPERPARAMETER,0.7,0.792857143,0.71,0.792857143,0.483333333,0.781690141,140,0.3,0.142857143,1.555555556,0.218309859,0.097165992,1.505263158,0.207142857,0.165,2.03125,0.5,0.146464646,1.329545455,0.516666667,0.05,1.1,0.146995393,0.207142857,0.516666667,0.483333333,0.792857143,0.5,29,31,29,31,29,58,142,29,111,0.781690141,0.1075,-0.0575,0.028087451,0.000394452,0.00039777,0.028087451,0.000394452,0.00039777,0.542209171,0.197080137,0.852564103,-0.165,0.165,0.024649327,-0.10952381,0.202797814,0.483333333,0.792857143,-0.165,0.7,[0.721],60,-0.047619048,0.157008938,0.787234043,0.278926754,0.3,0.638095238,0.638095238,0.674785714,-32927.51991,-0.115,0.878244617,0.741058655,0.827200397,,,,,,,
fc83c766-32f0-453e-aed1-fa95a7a17a9a,AdaBoostClassifier,BASE_LINE,SMOTE,HYPERPARAMETER,0.655,0.707142857,0.635,0.707142857,0.533333333,0.779527559,140,0.345,0.173809524,1.593495935,0.220472441,0.140733713,1.769896194,0.292857143,0.185,1.770833333,0.561643836,0.143207856,1.280448718,0.466666667,0.125,1.294117647,0.194901198,0.292857143,0.466666667,0.533333333,0.707142857,0.438356164,41,28,41,28,32,73,127,32,99,0.779527559,0.155,-0.03,0.024505752,0.000300266,0.000302461,0.024505752,0.000300266,0.000302461,0.62434157,0.09729211,0.853046595,-0.185,0.185,0.001237072,-0.097619048,0.274782237,0.533333333,0.707142857,-0.185,0.7,[0.721],60,-0.047619048,0.157008938,0.741573034,0.228901393,0.345,0.620238095,0.620238095,0.638845238,-27650.44547,-0.06,0.881373704,0.695603202,0.809326415,,,,,,,
fc83c766-32f0-453e-aed1-fa95a7a17a9a,AdaBoostClassifier,BASE_LINE,ROS,ROS,0.655,0.65,0.555,0.65,0.666666667,0.81981982,140,0.345,0.126190476,1.410852713,0.18018018,0.164247517,2.264705882,0.35,0.07,1.212121212,0.550561798,0.091575092,1.174825175,0.333333333,0.25,2,0.221589549,0.35,0.333333333,0.666666667,0.65,0.449438202,49,20,49,20,40,89,111,40,91,0.81981982,0.16,0.09,0.034455456,0.000593589,0.00058784,0.034455456,0.000593589,0.00058784,0.66571698,-0.120999792,1.03030303,-0.07,0.25,-0.036336213,0.016666667,0.318793501,0.666666667,0.65,-0.07,0.7,[0.721],60,-0.047619048,0.157008938,0.725099602,0.292001781,0.345,0.658333333,0.658333333,0.599083333,-27688.89242,0.18,0.961143999,0.688269511,0.848950997,,,,,,,
fc83c766-32f0-453e-aed1-fa95a7a17a9a,GradientBoostingClassifier,BASE_LINE,ROS,ROS,0.675,0.664285714,0.555,0.664285714,0.7,0.837837838,140,0.325,0.107142857,1.365853659,0.162162162,0.097530864,1.718181818,0.335714286,0.125,1.416666667,0.528089888,0.05819209,1.114444444,0.3,0.075,1.272727273,0.207910126,0.335714286,0.3,0.7,0.664285714,0.471910112,47,18,47,18,42,89,111,42,93,0.837837838,0.1,-0.025,0.016589664,0.000137608,0.000138284,0.016589664,0.000137608,0.000138284,0.644841261,0.012627459,0.864197531,-0.125,0.125,-0.019669387,-0.078571429,0.302579532,0.7,0.664285714,-0.125,0.7,[0.721],60,-0.047619048,0.157008938,0.741035857,0.335911824,0.325,0.682142857,0.682142857,0.699196429,-34356.75751,-0.05,0.90684187,0.70647816,0.828516867,,,,,,,
fc83c766-32f0-453e-aed1-fa95a7a17a9a,RandomForestClassifier,BASE_LINE,ROS,ROS,0.7,0.778571429,0.69,0.778571429,0.516666667,0.789855072,140,0.3,0.119047619,1.45045045,0.210144928,0.0629681,1.324285714,0.221428571,0.18,2.058823529,0.5,0.100540541,1.218823529,0.483333333,-0.05,0.9,0.152994592,0.221428571,0.483333333,0.516666667,0.778571429,0.5,31,29,31,29,31,62,138,31,109,0.789855072,0.115,-0.115,0.048492864,0.001175779,0.001193214,0.048492864,0.001175779,0.001193214,0.553162892,0.295214607,0.792880259,-0.18,0.18,0.01878622,-0.152380952,0.213093449,0.516666667,0.778571429,-0.18,0.7,[0.721],60,-0.047619048,0.157008938,0.784172662,0.292534202,0.3,0.647619048,0.647619048,0.722095238,-31376.73576,-0.13,0.834993672,0.739699467,0.800613136,,,,,,,
