id,algorithm,stage,intervention,process,accuracy,recall,selection_rate,sensitivity,specificity,precision,num_positives,error_rate,error_rate_difference,error_rate_ratio,false_discovery_rate,false_discovery_rate_difference,false_discovery_rate_ratio,false_negative_rate,false_negative_rate_difference,false_negative_rate_ratio,false_omission_rate,false_omission_rate_difference,false_omission_rate_ratio,false_positive_rate,false_positive_rate_difference,false_positive_rate_ratio,generalized_entropy_index,generalized_false_negative_rate,generalized_false_positive_rate,generalized_true_negative_rate,generalized_true_positive_rate,negative_predictive_value,num_false_negatives,num_false_positives,num_generalized_false_negatives,num_generalized_false_positives,num_generalized_true_negatives,num_pred_negatives,num_pred_positives,num_true_negatives,num_true_positives,positive_predictive_value,average_abs_odds_difference,average_odds_difference,between_all_groups_coefficient_of_variation,between_all_groups_generalized_entropy_index,between_all_groups_theil_index,between_group_coefficient_of_variation,between_group_generalized_entropy_index,between_group_theil_index,coefficient_of_variation,differential_fairness_bias_amplification,disparate_impact,equal_opportunity_difference,equalized_odds_difference,average_predictive_value_difference,statistical_parity_difference,theil_index,true_negative_rate,true_positive_rate,true_positive_rate_difference,base_rate,consistency,num_negatives,mean_difference,smoothed_empirical_differential_fairness,f1_score,matthews_corrcoef,zero_one_loss,roc_auc_score,balanced_accuracy,fair_utility,log_likelihood,disparate_mistreatment,h_mean_fairness,h_mean_performance,h_mean_mixed,Total_real_time,Total_CPU_usage (%),Total_GPU_usage (%),Total_CPU_time (s),Total_GPU_time (s),Energy_consumption (Ws),CO2_emissions (gCO2e)
7fe73118-87a3-4a1f-8c27-8246a48e7834,AdaBoostClassifier,BASE_LINE,NONE,BASE_LINE_VALUES,0.69,0.778571429,0.7,0.778571429,0.483333333,0.778571429,140,0.31,0.281364829,2.116666667,0.221428571,0.227272727,2.538461538,0.221428571,0.29787234,2.473684211,0.516666667,0.227106227,1.466165414,0.516666667,0.206060606,1.523076923,0.155,0.221428571,0.516666667,0.483333333,0.778571429,0.483333333,31,31,31,31,29,60,140,29,109,0.778571429,0.251966473,-0.045905867,0.115611595,0.00668302,0.006195799,0.639967308,0.204779078,0.342893295,0.556776436,0.24875038,0.76969697,-0.29787234,0.29787234,-8.33E-05,-0.159580052,0.214875626,0.483333333,0.778571429,-0.29787234,0.7,[0.721],60,-0.073490814,0.716330516,0.778571429,0.261904762,0.31,0.630952381,0.630952381,0.659916797,-27553.81995,-0.091811734,0.806215769,0.731614786,0.779713924,4.592940569,12,0,56.42777824,0,235.1157427,0.020311388
7fe73118-87a3-4a1f-8c27-8246a48e7834,GradientBoostingClassifier,BASE_LINE,NONE,BASE_LINE_VALUES,0.69,0.778571429,0.7,0.778571429,0.483333333,0.778571429,140,0.31,0.198950131,1.743137255,0.221428571,0.174242424,2.095238095,0.221428571,0.187234043,1.88,0.516666667,0.153846154,1.3,0.516666667,0.175757576,1.414285714,0.155,0.221428571,0.516666667,0.483333333,0.778571429,0.483333333,31,31,31,31,29,60,140,29,109,0.778571429,0.181495809,-0.005738233,0.108676056,0.005905243,0.005397609,0.63914493,0.204253121,0.342510131,0.556776436,0.105649536,0.865909091,-0.187234043,0.187234043,-0.010198135,-0.092913386,0.214875626,0.483333333,0.778571429,-0.187234043,0.7,[0.721],60,-0.073490814,0.716330516,0.778571429,0.261904762,0.31,0.630952381,0.630952381,0.634572933,-31795.91927,-0.011476467,0.890189745,0.731614786,0.830208168,4.599587679,23.9,0,111.720704,0,465.5029333,0.040214281
7fe73118-87a3-4a1f-8c27-8246a48e7834,RandomForestClassifier,BASE_LINE,NONE,BASE_LINE_VALUES,0.745,0.864285714,0.765,0.864285714,0.466666667,0.790849673,140,0.255,0.120734908,1.567901235,0.209150327,0.060606061,1.375,0.135714286,0.182978723,2.563636364,0.404255319,0.107142857,1.272727273,0.533333333,-0.084848485,0.825,0.110549053,0.135714286,0.533333333,0.466666667,0.864285714,0.595744681,19,32,19,32,28,47,153,28,121,0.790849673,0.133913604,-0.133913604,0.086495886,0.003740769,0.003511558,0.64020777,0.204932994,0.343007034,0.470210705,0.105649536,0.76969697,-0.182978723,0.182978723,0.023268398,-0.179527559,0.145294776,0.466666667,0.864285714,-0.182978723,0.7,[0.721],60,-0.073490814,0.716330516,0.825938567,0.357693055,0.255,0.66547619,0.66547619,0.754592506,-32541.13901,-0.098130239,0.816893332,0.783384208,0.80540958,4.625210047,35.5,0,165.9168822,0,691.3203426,0.059722396
7fe73118-87a3-4a1f-8c27-8246a48e7834,RidgeClassifierCV,BASE_LINE,NONE,BASE_LINE_VALUES,0.695,0.814285714,0.745,0.814285714,0.416666667,0.765100671,140,0.305,0.281364829,2.116666667,0.234899329,0.191326531,2.041666667,0.185714286,0.35106383,3.357142857,0.509803922,0.231527094,1.479591837,0.583333333,0.054545455,1.1,0.138721641,0.185714286,0.583333333,0.416666667,0.814285714,0.490196078,26,35,26,35,25,51,149,25,114,0.765100671,0.202804642,-0.148259188,0.09568461,0.004577772,0.004324902,0.641845896,0.205983077,0.343795942,0.526728851,0.24875038,0.691156463,-0.35106383,0.35106383,0.020100281,-0.23832021,0.188137673,0.416666667,0.814285714,-0.35106383,0.7,[0.721],60,-0.073490814,0.716330516,0.788927336,0.24281967,0.305,0.61547619,0.61547619,0.70672619,-29202.60635,-0.296518375,0.730621932,0.738991034,0.73339049,4.580745459,48.9,0,227.7176469,0,948.8235289,0.08196781
7fe73118-87a3-4a1f-8c27-8246a48e7834,NuSVC,BASE_LINE,NONE,BASE_LINE_VALUES,0.705,0.835714286,0.765,0.835714286,0.4,0.764705882,140,0.295,0.148031496,1.5875,0.235294118,0.116326531,1.633333333,0.164285714,0.15106383,2.014285714,0.489361702,0.117241379,1.242857143,0.6,0.054545455,1.1,0.128182239,0.164285714,0.6,0.4,0.835714286,0.510638298,23,36,23,36,24,47,153,24,117,0.764705882,0.102804642,-0.048259188,0.099597263,0.004959807,0.004492303,0.639199163,0.204287785,0.342534998,0.506324479,0.449421075,0.863945578,-0.15106383,0.15106383,0.000457424,-0.104986877,0.171328473,0.4,0.835714286,-0.15106383,0.7,[0.721],60,-0.073490814,0.716330516,0.798634812,0.254759802,0.295,0.617857143,0.617857143,0.647674427,-29628.771,-0.096518375,0.888211192,0.748901978,0.836352341,4.985639572,60.4,0,285.5915755,0,1189.964898,0.102799745
7fe73118-87a3-4a1f-8c27-8246a48e7834,LinearDiscriminantAnalysis,BASE_LINE,NONE,BASE_LINE_VALUES,0.7,0.8,0.72,0.8,0.466666667,0.777777778,140,0.3,0.297112861,2.257777778,0.222222222,0.215425532,2.35,0.2,0.340425532,3.133333333,0.5,0.25974026,1.571428571,0.533333333,0.145454545,1.32,0.143983083,0.2,0.533333333,0.466666667,0.8,0.5,28,32,28,32,28,56,144,28,112,0.777777778,0.242940039,-0.097485493,0.101222008,0.005122947,0.00474797,0.641002616,0.205442177,0.343387008,0.536624792,0.24875038,0.720567376,-0.340425532,0.340425532,0.022157364,-0.206824147,0.197655312,0.466666667,0.8,-0.340425532,0.7,[0.721],60,-0.073490814,0.716330516,0.788732394,0.272165527,0.3,0.633333333,0.633333333,0.695074146,-34082.75296,-0.194970986,0.758625447,0.741721854,0.752905956,4.500211954,72.6,0,341.066016,0,1421.1084,0.122767976
7fe73118-87a3-4a1f-8c27-8246a48e7834,NN_CONFIG,BASE_LINE,NONE,NN,0.695,0.778571429,0.695,0.778571429,0.5,0.784172662,140,0.305,0.198950131,1.743137255,0.215827338,0.166666667,2,0.221428571,0.19787234,1.978947368,0.508196721,0.153153153,1.298245614,0.5,0.145454545,1.32,0.154023888,0.221428571,0.5,0.5,0.778571429,0.491803279,31,30,31,30,30,61,139,30,109,0.784172662,0.171663443,-0.026208897,0.067500769,0.002278177,0.002153363,0.639239809,0.204313767,0.342553695,0.555020519,-0.38942773,0.846666667,-0.19787234,0.19787234,-0.006756757,-0.108661417,0.214001641,0.5,0.778571429,-0.19787234,0.7,[0.721],60,-0.073490814,0.716330516,0.781362007,0.277270648,0.305,0.639285714,0.639285714,0.656040688,,-0.052417795,0.874009531,0.735655066,0.822450197,,,,,,,
7fe73118-87a3-4a1f-8c27-8246a48e7834,RidgeClassifierCV,BASE_LINE,HYPERPARAMETER,HYPERPARAMETER,0.695,0.814285714,0.745,0.814285714,0.416666667,0.765100671,140,0.305,0.281364829,2.116666667,0.234899329,0.191326531,2.041666667,0.185714286,0.35106383,3.357142857,0.509803922,0.231527094,1.479591837,0.583333333,0.054545455,1.1,0.138721641,0.185714286,0.583333333,0.416666667,0.814285714,0.490196078,26,35,26,35,25,51,149,25,114,0.765100671,0.202804642,-0.148259188,0.09568461,0.004577772,0.004324902,0.641845896,0.205983077,0.343795942,0.526728851,0.24875038,0.691156463,-0.35106383,0.35106383,0.020100281,-0.23832021,0.188137673,0.416666667,0.814285714,-0.35106383,0.7,[0.721],60,-0.073490814,0.716330516,0.788927336,0.24281967,0.305,0.61547619,0.61547619,0.70672619,-29202.60635,-0.296518375,0.730621932,0.738991034,0.73339049,,,,,,,
7fe73118-87a3-4a1f-8c27-8246a48e7834,AdaBoostClassifier,BASE_LINE,HYPERPARAMETER,HYPERPARAMETER,0.69,0.785714286,0.71,0.785714286,0.466666667,0.774647887,140,0.31,0.273490814,2.052525253,0.225352113,0.210164835,2.275,0.214285714,0.308510638,2.611111111,0.517241379,0.214285714,1.428571429,0.533333333,0.145454545,1.32,0.151896873,0.214285714,0.533333333,0.466666667,0.785714286,0.482758621,30,32,30,32,28,58,142,28,110,0.774647887,0.226982592,-0.081528046,0.09257034,0.004284634,0.004078091,0.640446232,0.205085688,0.343120415,0.551174878,-0.087721857,0.744322344,-0.308510638,0.308510638,0.00206044,-0.1832021,0.209660657,0.466666667,0.785714286,-0.308510638,0.7,[0.721],60,-0.073490814,0.716330516,0.780141844,0.254881344,0.31,0.626190476,0.626190476,0.677242562,-27610.76458,-0.163056093,0.783896306,0.732307395,0.765910913,,,,,,,
7fe73118-87a3-4a1f-8c27-8246a48e7834,AdaBoostClassifier,BASE_LINE,SMOTE,SMOTE,0.665,0.714285714,0.635,0.714285714,0.55,0.787401575,140,0.335,0.191076115,1.693333333,0.212598425,0.141135972,1.976190476,0.285714286,0.255319149,2.043478261,0.547945205,0.102272727,1.195652174,0.45,0.036363636,1.1,0.189181847,0.285714286,0.45,0.55,0.714285714,0.452054795,40,27,40,27,33,73,127,33,100,0.787401575,0.145841393,-0.109477756,0.110593747,0.006115488,0.005582144,0.64074652,0.205278051,0.343263958,0.615112749,0.037441286,0.714056225,-0.255319149,0.255319149,-0.019431623,-0.18687664,0.267368898,0.55,0.714285714,-0.255319149,0.7,[0.721],60,-0.073490814,0.716330516,0.74906367,0.251564897,0.335,0.632142857,0.632142857,0.701348439,-27600.7682,-0.218955513,0.784918673,0.704533114,0.756159986,,,,,,,
